,full_name,won
84, Awkwafina,False
85,Constance Wu,False
86,Gemma Chan,False
87,Henry Golding,False
88,Ken Jeong,False
89,Lisa Lu,False
90,Michelle Yeoh,False
91,Brian Tyree Henry,False
92,Donald Glover,False
93,Khris Davis,False
94,Lakeith Stanfield,False
95,Alejandro Furth,False
96,Andy Carey,False
97,Anthony Carrigan,False
98,Bill Hader,False
99,D'Arcy Carden,False
100,Darrell Britt-Gibson,False
101,Glenn Fleshler,False
102,Henry Winkler ,False
103,John Pirruccello,False
104,Kirby Howell-Baptiste,False
105,Paula Newsome,False
106,Rightor Doyle,False
107,Sarah Goldberg,False
108,Stephen Root,False
109,Alison Brie,False
110,Bashir Salahuddin,False
111,Betty Gilpin,False
112,Britney Young,False
113,Britt Baron,False
114,Chris Lowell,False
115,Ellen Wong,False
116,Gayle Rankin,False
117,Jackie Tohn,False
118,Kate Nash,False
119,Kia Stevens,False
120,Kimmy Gatewood,False
121,Marc Maron,False
122,Rebekka Johnson,False
123,Shakira Barrera,False
124,Sunita Mani,False
125,Sydelle Noel,False
126,Victor Quinaz,False
127,Wyatt Nash,False
128,Alan Arkin,False
129,Ashleigh Lathrop,False
130,Casey Thomas Brown,False
131,Emily Osment,False
132,Graham Rogers,False
133,Jenna Lyng Adams,False
134,Melissa Tang,False
135,Michael  Douglas,False
136,Nancy Travis,False
137,Sarah Baker,False
138,Susan Sullivan,False
139,Alex Borstein,True
140,Brian Tarantina,True
141,Caroline Aaron,True
142,Kevin Pollak,True
143,Marin Hinkle,True
144,Michael Zegen,True
145,Rachel Brosnahan,True
146,Tony Shalhoub,True
147,Zachary Levi,True
148,Bob Odenkirk ,False
149,Giancarlo Esposito,False
150,Jonathan Banks,False
151,Michael Mando,False
152,Rainer Bock,False
153,Ray Campbell,False
154,Rhea Seehorn,False
155,Carson Holmes,False
156,Charlie Tahan,False
157,Darren Goldstein,False
158,Harris Yulin,False
159,Janet Mcteer,False
160,Jason Bateman ,False
161,Jason Butler,False
162,Jordana Spiro,False
163,Julia Garner,False
164,Laura Linney,False
165,Lisa Emery,False
166,Peter Mullan,False
167,Robert Treveiler,False
168,Skylar Gaertner,False
169,Sofia Hublitz,False
170,Trevor Long,False
171,Anthony Arkin,False
172,Brandon J. Dirden,False
173,Costa Ronin,False
174,Holly Taylor,False
175,Keidrich Sellati,False
176,Keri Russell,False
177,Laurie Holden,False
178,Margo Martindale,False
179,Matthew Rhys,False
180,Miriam Shor,False
181,Noah Emmerich,False
182,Scott Cohen,False
183,Alexis Bledel,False
184,Amanda Brugel,False
185,Ann Dowd,False
186,Bahia Watson,False
187,Elisabeth Moss,False
188,Joseph Fiennes,False
189,Madeline Brewer,False
190,Max Minghella,False
191,Nina Kiri,False
192,O-T Fagbenle,False
193,Sydney Sweeney,False
194,Yvonne Strahovski,False
195,Chris Sullivan,True
196,Chrissy Metz,True
197,Eris Baker,True
198,Faithe Herman ,True
199,Hannah Zeile,True
200,Jon Huertas,True
201,Justin Hartley,True
202,Lyric Ross,True
203,Mackenzie Hancsicsak,True
204,Mandy Moore,True
205,Melanie Liburd,True
206,Milo Ventimiglia,True
207,Niles Fitch,False
208,Sterling K. Brown,True
209,Susan Kelechi Watson,True
210,Alison Brie,False
211,Jane Fonda,False
212,Lily Tomlin,False
213,Alex Borstein,False
214,Rachel Brosnahan,True
215,Robin Wright ,False
216,Sandra Oh,True
217,Julia Garner,False
218,Laura Linney,False
219,Elisabeth Moss,False
220,Lady Gaga,False
221,Melissa Mccarthy,False
222,Emily Blunt,False
223,Olivia Colman,False
224,Glenn Close,True
225,Emily Blunt,True
226,Margot Robbie,False
227,Emma Stone,False
228,Rachel Weisz,False
229,Amy Adams,False
230,Patricia Arquette ,True
231,Emma Stone,False
232,Amy Adams,False
233,Patricia Clarkson,False
234,Penã£ÂLope Cruz,False
235,Bill Hader,False
236,Henry Winkler ,False
237,Alan Arkin,False
238,Michael  Douglas,False
239,Tony Shalhoub,True
240,Bob Odenkirk ,False
241,Jason Bateman ,True
242,Joseph Fiennes,False
243,Sterling K. Brown,False
244,John Krasinski,False
245,Bradley Cooper,False
246,John David Washington,False
247,Rami Malek,True
248,Viggo Mortensen,False
249,Christian Bale,False
250,Sam Elliott,False
251,Timothã£ÂE Chalamet,False
252,Adam Driver,False
253,Richard E. Grant,False
254,Mahershala Ali,True
255,Hugh Grant,False
256,Antonio Banderas,False
257,Anthony Hopkins,False
258,Darren Criss,True
259,Bill Pullman,False
260,Allison Williams,False
261,Bradley Whitford,False
262,Caleb Landry Jones,False
263,Carey Mulligan,False
264,Catherine Keener,False
265,Daniel Kaluuya,False
266,Lakeith Stanfield,False
267,Stephen Root,False
268,Beanie Feldstein,False
269,Jordan Rodrigues,False
270,Laurie Metcalf,False
271,Lois Smith,False
272,Lucas Hedges,False
273,Marielle Scott,False
274,Odeya Rush,False
275,Saoirse Ronan,False
276,Stephen Mckinley Henderson,False
277,Timothã£ÂE Chalamet,False
278,Tracy Letts,False
279,Garrett Hedlund,False
280,Jason Clarke,False
281,Jason Mitchell,False
282,Jonathan Banks,False
283,Mary J. Blige,False
284,Rob Morgan,False
285,Adeel Akhtar,False
286,Anupam Kher,False
287,Holly Hunter,False
288,Kumail Nanjiani,False
289,Ray Romano,False
290,Zenobia Shroff,False
291,Zoe Kazan,False
292,Abbie Cornish,True
293,Caleb Landry Jones,True
294,Clarke Peters,True
295,Frances Mcdormand,True
296,John Hawkes,True
297,Lucas Hedges,True
298,Peter Dinklage,True
299,Sam Rockwell,True
300,Samara Weaving,True
301,Woody Harrelson,True
302,ÃÂ½Eljko Ivanek,True
303,Anthony Anderson,False
304,Deon Cole,False
305,Jeff Meachum,False
306,Jenifer Lewis,False
307,Laurence Fishburne,False
308,Marcus Scribner,False
309,Marsai Martin,False
310,Miles Brown,False
311,Peter Mackenzie,False
312,Tracee Ellis Ross,False
313,Yara Shahidi,False
314,Cheryl Hines,False
315,Jb Smoove,False
316,Jeff Garlin,False
317,Larry David,False
318,Susie Essman,False
319,Ted Danson,False
320,Alison Brie,False
321,Bashir Salahuddin,False
322,Betty Gilpin,False
323,Britney Young,False
324,Britt Baron,False
325,Chris Lowell,False
326,Ellen Wong,False
327,Gayle Rankin,False
328,Jackie Tohn,False
329,Kate Nash,False
330,Kia Stevens,False
331,Kimmy Gatewood,False
332,Marc Maron,False
333,Marianna Palka,False
334,Rebekka Johnson,False
335,Rich Sommer,False
336,Sunita Mani,False
337,Sydelle Noel,False
338,Abigail Savage,False
339,Adrienne C. Moore,False
340,Annie Golden,False
341,Asia Kate Dillon,False
342,Beth Dover,False
343,Brad William Henke,False
344,Constance Shulman,False
345,Dale Soules,False
346,Daniella De Jesus,False
347,Danielle Brooks,False
348,Dascha Polanco,False
349,Diane Guerrero,False
350,Elizabeth Rodriguez,False
351,Emily Althaus,False
352,Emily Tarver,False
353,Emma Myles,False
354,Evan Arthur Hall,False
355,Francesca Curran,False
356,Jackie Cruz,False
357,Jessica Pimentel,False
358,John Palladino,False
359,Jolene Purdy,False
360,Julie Lake,False
361,Kate Mulgrew,False
362,Kelly Karbacz,False
363,Kimiko Glenn,False
364,Laura Gomez,False
365,Laura Prepon,False
366,Lea Delaria,False
367,Lin Tucci,False
368,Matt Peters,False
369,Michael J. Harney,False
370,Michael Torpey,False
371,Mike Houston,False
372,Miriam Morales,False
373,Natasha Lyonne,False
374,Nick Dillenburg,False
375,Nick Sandow,False
376,Rosal Colon,False
377,Selenis Leyva,False
378,Taryn Manning,False
379,Taylor Schilling,False
380,Uzo Aduba,False
381,Vicky Jeudy,False
382,Yael Stone,False
383,Anna Chlumsky,True
384,Clea Duvall,True
385,Dan Bakkedahl,True
386,Gary Cole,True
387,Julia Louis-Dreyfus,True
388,Kevin Dunn,True
389,Margaret Colin,True
390,Matt Walsh,True
391,Nelson Franklin,True
392,Paul Scheer,True
393,Reid Scott,True
394,Sam Richardson,True
395,Sarah Sutherland,True
396,Timothy Simons,True
397,Tony Hale,True
398,Aidan Gillen,False
399,Alfie Allen,False
400,Anton Lesser,False
401,Conleth Hill,False
402,Emilia Clarke,False
403,Gwendoline Christie,False
404,Hafbor Julius Bjornsson,False
405,Iain Glen,False
406,Isaac Hempstead Wright,False
407,Jacob Anderson,False
408,James Faulkner,False
409,Jerome Flynn,False
410,Jim Broadbent,False
411,John Bradley,False
412,Kit Harington,False
413,Kristofer Hivju ,False
414,Lena Heady,False
415,Liam Cunningham,False
416,Maisie Williams,False
417,Nathalie Emmanuel,False
418,Nikolaj Coster-Waldau,False
419,Peter Dinklage,False
420,Pilou Asbaek,False
421,Richard Dormer,False
422,Richard Rycroft,False
423,Rory Mccann,False
424,Rupert Vansittart,False
425,Sophie Turner,False
426,Staz Nair,False
427,Tom Hopper,False
428,Caleb Mclaughlin,False
429,Cara Buono,False
430,Catherine Curtin,False
431,Charlie Heaton,False
432,Dacre Montgomery,False
433,David Harbour,False
434,Finn Wolfhard,False
435,Gaten Matarazzo,False
436,Joe Chrest,False
437,Joe Keery,False
438,Millie Bobby Brown,False
439,Natalia Dyer,False
440,Noah Schnapp,False
441,Paul Reiser,False
442,Sadie Sink,False
443,Sean Astin,False
444,Winona Ryder,False
445,Anton Lesser,False
446,Claire Foy,False
447,Matt Smith,False
448,Vanessa Kirby,False
449,Victoria Hamilton,False
450,Amanda Brugel,False
451,Ann Dowd,False
452,Elisabeth Moss,False
453,Joseph Fiennes,False
454,Madeline Brewer,False
455,Max Minghella,False
456,O-T Fagbenle,False
457,Samira Wiley,False
458,Tattiawna Jones,False
459,Yvonne Strahovski,False
460,Alexandra Breckenridge,True
461,Chris Sullivan,True
462,Chrissy Metz,True
463,Eris Baker,True
464,Faithe Herman ,True
465,Hannah Zeile,True
466,Justin Hartley,True
467,Lonnie Chavis,True
468,Mackenzie Hancsicsak,True
469,Mandy Moore,True
470,Milo Ventimiglia,True
471,Ron Cephas Jones,True
472,Sterling K. Brown,True
473,Susan Kelechi Watson,True
474,Alison Brie,False
475,Jane Fonda,False
476,Lily Tomlin,False
477,Uzo Aduba,False
478,Julia Louis-Dreyfus,True
479,Robin Wright,False
480,Millie Bobby Brown,False
481,Claire Foy,True
482,Elisabeth Moss,False
483,Margot Robbie,False
484,Saoirse Ronan,False
485,Sally Hawkins,False
486,Frances Mcdormand,True
487,Judi Dench,False
488,Hong Chau,False
489,Allison Janney,False
490,Laurie Metcalf,False
491,Mary J. Blige,False
492,Holly Hunter,False
493,Laura Dern,False
494,Nicole Kidman,True
495,Reese Witherspoon,False
496,Jessica  Lange,False
497,Susan Sarandon,False
498,Anthony Anderson,False
499,Larry David,False
500,Marc Maron,False
501,Aziz Ansari,False
502,William H. Macy,True
503,Sean Hayes,False
504,Bob Odenkirk,False
505,Peter Dinklage,False
506,Jason Bateman,False
507,David Harbour,False
508,Sterling K. Brown,True
509,Timothã£ÂE Chalamet,False
510,Gary Oldman,True
511,Daniel Kaluuya,False
512,James Franco,False
513,Steve Carell,False
514,Willem Dafoe,False
515,Richard Jenkins,False
516,Sam Rockwell,True
517,Woody Harrelson,False
518,Alexander Skarsgard,True
519,Geoffrey Rush,False
520,Jeff Daniels,False
521,Benedict Cumberbatch,False
522,Robert De Niro,False
523,Ann Dowd,False
524,Annalise Basso,False
525,Charlie Shotwell,False
526,Erin Moriarty,False
527,Frank Langella,False
528,George Mackay,False
529,Kathryn Hahn,False
530,Missi Pyle,False
531,Nicholas Hamilton,False
532,Samantha Isler,False
533,Shree Cooks,False
534,Steve Zahn,False
535,Viggo Mortensen,False
536,Denzel Washington,False
537,Jovan Adepo,False
538,Mykelti Williamson,False
539,Russell Hornsby,False
540,Saniyya Sidney,False
541,Stephen Mckinley Henderson,False
542,Viola Davis,False
543,Aldis Hodge,True
544,Glen Powell,True
545,Janelle Monã£ÂE,True
546,Jim Parsons,True
547,Kevin Costner,True
548,Kirsten Dunst,True
549,Mahershala Ali,True
550,Octavia Spencer,True
551,Taraji P. Henson,True
552,Casey Affleck,False
553,Gretchen Mol,False
554,Kyle Chandler,False
555,Lucas Hedges,False
556,Matthew Broderick,False
557,Michelle Williams,False
558,Andrã£Â Holland,False
559,Ashton Sanders,False
560,Janelle Monã£ÂE,False
561,Jharrel Jerome,False
562,Mahershala Ali,False
563,Naomie Harris,False
564,Trevante Rhodes,False
565,Anthony Anderson,False
566,Deon Cole,False
567,Jeff Meacham,False
568,Jenifer Lewis,False
569,Laurence Fishburne,False
570,Marcus Scribner,False
571,Marsai Martin,False
572,Miles Brown,False
573,Peter Mackenzie,False
574,Tracee Ellis Ross,False
575,Yara Shahidi,False
576,Ariel Winter,False
577,Aubrey Anderson-Emmons,False
578,Ed O'Neill,False
579,Eric Stonestreet,False
580,Jeremy Maguire,False
581,Jesse Tyler Ferguson,False
582,Julie Bowen,False
583,Nolan Gould,False
584,Rico Rodriguez,False
585,Sarah Hyland,False
586,Sofia Vergara,False
587,Ty Burrell,False
588,Abigail Savage,True
589,Adrienne C. Moore,True
590,Alan Aisenberg,True
591,Annie Golden,True
592,Beth Dover,True
593,Blair Brown,True
594,Brad William Henke,True
595,Constance Shulman,True
596,Dale Soules,True
597,Danielle Brooks,True
598,Dascha Polanco,True
599,Diane Guerrero,True
600,Elizabeth Rodriguez,True
601,Emma Myles,True
602,Jackie Cruz,True
603,James Mcmenamin,True
604,Jessica Pimentel,True
605,Jolen Purdy,True
606,Julie Lake,True
607,Kate Mulgrew,True
608,Kimiko Glenn,True
609,Laura Gomez,True
610,Laura Prepon,True
611,Lea Delaria,True
612,Lin Tucci,True
613,Lori Petty,True
614,Matt Peters,True
615,Michael J. Harney,True
616,Natasha Lyonne,True
617,Nick Sandow,True
618,Samira Wiley,True
619,Selenis Leyva,True
620,Taryn Manning,True
621,Taylor Schilling,True
622,Uzo Aduba,True
623,Vicky Jeudy,True
624,Yael Stone,True
625,Jim Parsons,False
626,Johnny Galecki,False
627,Kaley Cuoco,False
628,Kunal Nayyar,False
629,Mayim Balik,False
630,Melissa Rauch,False
631,Simon Helberg,False
632,Anna Chlumsky,False
633,Clea Duvall,False
634,Dan Bakkedahl,False
635,Gary Cole,False
636,Hugh Laurie,False
637,John Slattery,False
638,Julia Louis-Dreyfus,False
639,Kevin Dunn,False
640,Matt Walsh,False
641,Nelson Franklin,False
642,Reid Scott,False
643,Sam Richardson,False
644,Sarah Sutherland,False
645,Sufe Bradshaw,False
646,Timothy Simons,False
647,Tony Hale,False
648,Wayne Wilderson,False
649,Allen Leech,False
650,Brendan Coyle,False
651,David Robb,False
652,Douglas Reith,False
653,Elizabeth Mcgovern,False
654,Harry Hadden-Paton,False
655,Howard Ward,False
656,Hugh Bonneville,False
657,Jeremy Swift,False
658,Jim Carter,False
659,Joanne Froggatt,False
660,Kevin Doyle,False
661,Laura Carmichael,False
662,Lesley Nicol,False
663,Maggie Smith,False
664,Matthew Goode,False
665,Michael Fox,False
666,Michelle Dockery,False
667,Patrick Brennan,False
668,Paul Copley,False
669,Penelope Wilton,False
670,Phyllis Logan,False
671,Raquel Cassidy,False
672,Robert James-Collier,False
673,Samantha Bond,False
674,Sophie Mcshera,False
675,Sue Johnston,False
676,Alfie Allen,False
677,Carice Van Houten,False
678,Conleth Hill,False
679,Dean Charles Chapman,False
680,Emilia Clarke,False
681,Faye Marsay,False
682,Gemma Whelan,False
683,Jacob Anderson,False
684,Jonathan Pryce,False
685,Kit Harington,False
686,Kristofer Hivju,False
687,Lena Headey,False
688,Liam Cunningham,False
689,Maisie Williams,False
690,Michiel Huisman,False
691,Nathalie Emmanuel,False
692,Nikolaj Coster-Waldau,False
693,Peter Dinklage,False
694,Sophie Turner,False
695,Caleb Mclaughlin,True
696,Cara Buono,True
697,Charlie Heaton,True
698,David Harbour,True
699,Finn Wolfhard,True
700,Gaten Matarazzo,True
701,Joe Chrest,True
702,Joe Keery,True
703,John Paul Reynolds,True
704,Mark Steger,True
705,Matthew Modine,True
706,Millie Bobby Brown,True
707,Natalia Dyler,True
708,Noah Schnapp,True
709,Rob Morgan,True
710,Winona Ryder,True
711,Ben Miles,False
712,Billy Jenkins,False
713,Claire Foy,False
714,Clive Francis,False
715,Daniel Ings,False
716,Harriet Walter,False
717,Harry Hadden-Paton,False
718,Jared Harris,False
719,Jeremy Northam,False
720,John Lithgow,False
721,Lizzy Mcinnerny,False
722,Matt Smith,False
723,Nicholas Rowe,False
724,Pip Torrens,False
725,Vanessa Kirby,False
726,Victoria Hamilton,False
727,Angela Sarafyan,False
728,Anthony Hopkins,False
729,Benn Barnes,False
730,Ed Harris,False
731,Evan Rachel Wood,False
732,Ingrid Bolsã£Â Berdal,False
733,James Marsden,False
734,Jeffrey Wright,False
735,Jimmi Simpson,False
736,Leonardo Nam,False
737,Luke Hemsworth,False
738,Ptolemy Slocum,False
739,Rodrigo Santoro,False
740,Shannon Woodward,False
741,Sidse Babett Knudsen,False
742,Talulah Riley,False
743,Thandie Newton,False
744,Jane Fonda,False
745,Lily Tomlin,False
746,Uzo Aduba,False
747,Ellie Kemper,False
748,Julia Louis-Dreyfus,True
749,Robin Wright,False
750,Millie Bobby Brown,False
751,Winona Ryder,False
752,Claire Foy,True
753,Thandie Newton,False
754,Amy Adams,False
755,Meryl Streep,False
756,Natalie Portman,False
757,Emma Stone,True
758,Emily Blunt,False
759,Viola Davis,True
760,Octavia Spencer,False
761,Nicole Kidman,False
762,Michelle Williams,False
763,Naomie Harris,False
764,Felicity Huffman,False
765,Bryce Dallas Howard,False
766,Kerry Washington,False
767,Audra Mcdonald,False
768,Sarah Paulson,True
769,Anthony Anderson,False
770,Ty Burrell,False
771,William H. Macy,True
772,Jeffrey Tambor,False
773,Tituss Burgess,False
774,Peter Dinklage,False
775,Kevin Spacey,False
776,Rami Malek,False
777,John Lithgow,True
778,Sterling K. Brown,False
779,Viggo Mortensen,False
780,Denzel Washington,True
781,Andrew Garfield,False
782,Ryan Gosling,False
783,Casey Affleck,False
784,Hugh Grant,False
785,Jeff Bridges,False
786,Dev Patel,False
787,Lucas Hedges,False
788,Mahershala Ali,True
789,Bryan Cranston,True
790,Jon Turturro,False
791,Riz Ahmed,False
792,Courtney B. Vance,False
793,Sterling K. Brown,False
794,Abraham Attah,False
795,Idris Elba,False
796,Kurt Egyiawan,False
797,Billy Crudup,True
798,Brian D'Arcy James,True
799,John Slattery,True
800,Liev Schreiber,True
801,Mark Ruffalo,True
802,Michael Keaton,True
803,Rachel Mcadams,True
804,Stanley Tucci,True
805,Aldis Hodge,False
806,Corey Hawkins,False
807,Jason Mitchell,False
808,"Neil Brown, Jr.",False
809,"O'Shea Jackson, Jr.",False
810,Paul Giamatti,False
811,Brad Pitt,False
812,Christian Bale,False
813,Finn Wittrock,False
814,Hamish Linklater,False
815,Jeremy Strong,False
816,John Magaro,False
817,Marisa Tomei,False
818,Melissa Leo,False
819,Rafe Spall,False
820,Ryan Gosling,False
821,Steve Carell,False
822,Adewale Akinnuoye-Agbaje,False
823,Alan Tudyk,False
824,Bryan Cranston,False
825,David James Elliott,False
826,Diane Lane,False
827,Elle Fanning,False
828,Helen Mirren,False
829,John Goodman,False
830,Louis C.K.,False
831,Michael Stuhlbarg,False
832,Jordan Peele,False
833,Keegan-Michael Key,False
834,Ariel Winter,False
835,Aubrey Anderson Emmons,False
836,Ed O'Neill,False
837,Eric Stonestreet,False
838,Jesse Tyler Ferguson,False
839,Julie Bowen,False
840,Nolan Gould,False
841,Rico Rodriguez,False
842,Sarah Hyland,False
843,Sofia Vergara,False
844,Ty Burrell,False
845,Abigail Savage,True
846,Adrienne C. Moore,True
847,Annie Golden,True
848,Beth Fowler,True
849,Catherine Curtin,True
850,Constance Shulman,True
851,Dale Soules,True
852,Danielle Brooks,True
853,Dascha Polanco,True
854,Diane Guerrero,True
855,Elizabeth Rodriguez,True
856,Emma Myles,True
857,Jackie Cruz,True
858,Jessica Pimentel,True
859,Joel Marsh Garland,True
860,Kate Mulgrew,True
861,Kimiko Glenn,True
862,Laura Prepon,True
863,Laverne Cox,True
864,Lea Delaria,True
865,Lori Petty,True
866,Marsha Stephanie Blake,True
867,Matt Peters,True
868,Michael J. Harney,True
869,Mike Birbiglia,True
870,Nick Sandow,True
871,Ruby Rose,True
872,Selenis Leyva,True
873,Taryn Manning,True
874,Taylor Schilling,True
875,Uzo Aduba,True
876,Vicky Jeudy,True
877,Yael Stone,True
878,Jim Parsons,False
879,Johnny Galecki,False
880,Kaley Cuoco,False
881,Kunal Nayyar,False
882,Mayim Bialik,False
883,Melissa Rauch,False
884,Simon Helberg,False
885,Alexandra Billings,False
886,Amy Landecker,False
887,Carrie Brownstein,False
888,Cherry Jones,False
889,Emily Robinson,False
890,Gaby Hoffmann,False
891,Hari Nef,False
892,Jay Duplass,False
893,Jeffrey Tambor,False
894,Judith Light,False
895,Kathryn Hahn,False
896,Anna Chlumsky,False
897,Diedrich Bader,False
898,Gary Cole,False
899,Hugh Laurie,False
900,Julia Louis-Dreyfus,False
901,Kevin Dunn,False
902,Matt Walsh,False
903,Phil Reeves,False
904,Reid Scott,False
905,Sam Richardson,False
906,Sarah Sutherland,False
907,Sufe Bradshaw,False
908,Timothy Simons,False
909,Tony Hale,False
910,Allen Leech,True
911,Brendan Coyle,True
912,David Robb,True
913,Elizabeth Mcgovern,True
914,Hugh Bonneville,True
915,Jim Carter,True
916,Joanne Froggatt,True
917,Julian Ovenden,True
918,Kevin Doyle,True
919,Laura Carmichael,True
920,Lesley Nicol,True
921,Lily James,True
922,Maggie Smith,True
923,Michelle Dockery,True
924,Penelope Wilton,True
925,Phyllis Logan,True
926,Raquel Cassidy,True
927,Robert James-Collier,True
928,Sophie Mcshera,True
929,Tom Cullen,True
930,Aiden Gillen,False
931,Alfie Allen,False
932,Ben Crompton,False
933,Brenock O'Connor,False
934,Brian Fortune,False
935,Carice Van Houten,False
936,Daniel Portman,False
937,Emilia Clarke,False
938,Gwendoline Christie,False
939,Hannah Murray,False
940,Iain Glen,False
941,Ian Beattie,False
942,Iwan Rheon,False
943,Jerome Flynn,False
944,Joel Fry,False
945,John Bradley,False
946,Kit Harington,False
947,Lena Headey,False
948,Liam Cunningham,False
949,Maisie Williams,False
950,Michael Condron,False
951,Michiel Huisman,False
952,Nathalie Emmanuel,False
953,Nikolaj Coster-Waldau,False
954,Owen Teale,False
955,Peter Dinklage,False
956,Sophie Turner,False
957,Stephen Dillane,False
958,Tara Fitzgerald,False
959,Tom Wlaschiha,False
960,Alexander Fehling,False
961,Atheer Adel,False
962,Claire Danes,False
963,F. Murray Abraham,False
964,Mandy Patinkin,False
965,Mark Ivanir,False
966,Miranda Otto,False
967,Nina Hoss,False
968,Ren,False
969,Rupert Friend,False
970,Sarah Sokolovic,False
971,Sebastian Koch,False
972,Derek Cecil,False
973,Elizabeth Marvel,False
974,Jimmi Simpson,False
975,Kevin Spacey,False
976,Mahershala Ali,False
977,Michael Kelly,False
978,Molly Parker,False
979,Nathan Darrow,False
980,Paul Sparks,False
981,Robin Wright,False
982,Aaron Staton,False
983,Bruce Greenwood,False
984,Christina Hendricks,False
985,Elisabeth Moss,False
986,January Jones,False
987,Jay R. Ferguson,False
988,John Slattery,False
989,Jon Hamm,False
990,Kevin Rahm,False
991,Kiernan Shipka,False
992,Mason Vale Cotton,False
993,Rich Sommer,False
994,Sola Bamis,False
995,Stephanie Drake,False
996,Vincent Kartheiser,False
997,Edie Falco,False
998,Uzo Aduba,True
999,Amy Poehler,False
1000,Ellie Kemper,False
1001,Julia Louis-Dreyfus,False
1002,Maggie Smith,False
1003,Claire Danes,False
1004,Robin Wright,False
1005,Viola Davis,True
1006,Julianna Margulies,False
1007,Saoirse Ronan,False
1008,Cate Blanchett,False
1009,Sarah Silverman,False
1010,Brie Larson,True
1011,Helen Mirren,False
1012,Rooney Mara,False
1013,Rachel Mcadams,False
1014,Kate Winslet,False
1015,Alicia Vikander,True
1016,Helen Mirren,False
1017,Queen Latifah,True
1018,Nicole Kidman,False
1019,Christina Ricci,False
1020,Susan Sarandon,False
1021,Kristen Wiig,False
1022,Carol Burnett,True
1023,Louis C.K.,False
1024,Ty Burrell,False
1025,William H. Macy,False
1026,Jim Parsons,False
1027,Jeffrey Tambor,True
1028,Bob Odenkirk,False
1029,Bob Odenkirk,False
1030,Peter Dinklage,False
1031,Peter Dinklage,False
1032,Kevin Spacey,True
1033,Kevin Spacey,True
1034,Jon Hamm,False
1035,Jon Hamm,False
1036,Rami Malek,False
1037,Rami Malek,False
1038,Johnny Depp,False
1039,Michael Fassbender,False
1040,Eddie Redmayne,False
1041,Leonardo Dicaprio,True
1042,Bryan Cranston,False
1043,Michael Shannon,False
1044,Michael Shannon,False
1045,Idris Elba,True
1046,Idris Elba,True
1047,Mark Rylance,False
1048,Mark Rylance,False
1049,Jacob Tremblay,False
1050,Jacob Tremblay,False
1051,Christian Bale,False
1052,Christian Bale,False
1053,Bill Murray,False
1054,Idris Elba,True
1055,Ray Liotta,False
1056,Ben Kingsley,False
1057,Mark Rylance,False
1058,Amy Ryan,True
1059,Andrea Riseborough,True
1060,Edward Norton,True
1061,Emma Stone,True
1062,Michael Keaton,True
1063,Naomi Watts,True
1064,Zach Galifianakis,True
1065,Ellar Coltrane,False
1066,Ethan Hawke,False
1067,Lorelei Linklater,False
1068,Patricia Arquette,False
1069,Adrien Brody,False
1070,Bill Murray,False
1071,Edward Norton,False
1072,F. Murray Abraham,False
1073,Harvey Keitel,False
1074,Jason Schwartzman,False
1075,Jeff Goldblum,False
1076,Jude Law,False
1077,Lea Seydoux,False
1078,Mathieu Amalric,False
1079,Owen Wilson,False
1080,Ralph Fiennes,False
