year,name,genres,themes
2010,127 Hours,"Drama, Adventure, Thriller","Humanity and the world around us, Humanity's odyssey: earth and beyond, Teen friendship and coming-of-age, Disastrous voyages and heroic survival, Surreal and thought-provoking visions of life and death, Powerful stories of heartbreak and illness"
2010,Grown Ups,Comedy,"Crude humor and satire, Relationship comedy, Underdogs and coming of age, Funny jokes and crude humor, Laugh-out-loud relationship entanglements, Inspiring sports underdog stories, Teen school antics and laughter, Catchy songs and hilarious musical comedy"
2010,Shrek Forever After,"Fantasy, Family, Comedy, Animation, Adventure","Holiday joy and heartwarming Christmas, Fairy-tale fantasy and enchanted magic, Kids' animated fun and adventure, Adorable animals and heartwarming families, Fantasy adventure,  heroism,  and swordplay"
2010,I Saw the Devil,"Thriller, Horror","Horror, the undead and monster classics, Intense violence and sexual transgression, Thrillers and murder mysteries, Graphic violence and brutal revenge, Extreme gory horror and cannibalism, Gory,  gruesome,  and slasher horror, Gothic and eerie haunting horror, Suspenseful crime thrillers"
2010,The Secret World of Arrietty,"Family, Fantasy, Animation","Adorable animals and heartwarming families, Fairy-tale fantasy and enchanted magic, Holiday joy and heartwarming Christmas, Emotional and captivating fantasy storytelling, Kids' animated fun and adventure"
2010,TRON: Legacy,"Science Fiction, Action, Adventure","Epic heroes, Monsters, aliens, sci-fi and the apocalypse, Thought-provoking sci-fi action and future technology, Action-packed space and alien sagas, Imaginative space odysseys and alien encounters, Fantasy adventure,  heroism,  and swordplay, Superheroes in action-packed battles with villains"
2010,Percy Jackson & the Olympians: The Lightning Thief,"Fantasy, Adventure, Family","Epic heroes, Epic history and literature, Fantasy adventure,  heroism,  and swordplay, Sci-fi monster and dinosaur adventures, Historical battles and epic heroism, Superheroes in action-packed battles with villains, Intense combat and martial arts"
2010,Love & Other Drugs,"Comedy, Romance, Drama","Relationship comedy, Moving relationship stories, Song and dance, Erotic relationships and desire, Laugh-out-loud relationship entanglements, Charming romances and delightful chemistry, Quirky and endearing relationships, Emotional LGBTQ relationships"
2010,The Other Guys,"Comedy, Crime, Action","Crude humor and satire, Gags,  jokes,  and slapstick humor, Funny jokes and crude humor, Action comedy and silly heroics, Catchy songs and hilarious musical comedy, Western frontier dramas with a touch of humor"
2010,The Town,"Crime, Drama, Thriller","Crime, drugs and gangsters, High speed and special ops, Thrillers and murder mysteries, Heists and thrilling action, Engaging casino gambling drama, Adrenaline-fueled action and fast cars, Gritty crime and ruthless gangsters, Explosive and action-packed heroes vs. villains"
2010,The Fighter,Drama,"Underdogs and coming of age, Underdog fighting and boxing stories, Inspiring sports underdog stories, Engaging casino gambling drama, Emotional and touching family dramas, Teen friendship and coming-of-age"
2010,The Karate Kid,"Adventure, Drama, Action, Family","Underdogs and coming of age, Epic heroes, Intense combat and martial arts, Tragic sadness and captivating beauty, Inspiring sports underdog stories, Underdog fighting and boxing stories, Emotional and touching family dramas"
2010,Never Let Me Go,"Romance, Science Fiction, Drama","Humanity and the world around us, Moving relationship stories, Student coming-of-age challenges, Surreal and thought-provoking visions of life and death, Powerful stories of heartbreak and illness, Humanity's odyssey: earth and beyond, Thought-provoking sci-fi action and future technology"
2010,Diary of a Wimpy Kid,"Family, Comedy","Underdogs and coming of age, Relationship comedy, Crude humor and satire, Teen school antics and laughter, Student coming-of-age challenges, Funny jokes and crude humor, Kids' animated fun and adventure, Holiday joy and heartwarming Christmas"
2010,Flipped,"Romance, Drama","Moving relationship stories, Relationship comedy, Underdogs and coming of age, Teen friendship and coming-of-age, Emotional and touching family dramas, Touching and sad family stories, Emotional teen coming-of-age stories, Tragic sadness and captivating beauty"
2010,The Last Airbender,"Fantasy, Adventure, Action","Epic heroes, Epic history and literature, Intense combat and martial arts, Fantasy adventure,  heroism,  and swordplay, Historical battles and epic heroism, Sci-fi monster and dinosaur adventures, Epic adventure and breathtaking battles"
2010,Tucker and Dale vs. Evil,"Horror, Comedy","Horror, the undead and monster classics, Crude humor and satire, Gory,  gruesome,  and slasher horror, Survival horror and zombie carnage, Spooky,  scary comedy, Bloody vampire horror, Extreme gory horror and cannibalism"
2010,Remember Me,"Drama, Romance","Moving relationship stories, Relationship comedy, Underdogs and coming of age, Touching and sad family stories, Emotional and touching family dramas, Heartbreaking and moving family drama, Enduring stories of family and marital drama, Powerful stories of heartbreak and illness"
2010,Boy,"Comedy, Drama","Underdogs and coming of age, Relationship comedy, Emotional and touching family dramas, Adorable animals and heartwarming families, Holiday joy and heartwarming Christmas, Touching and sad family stories, Teen friendship and coming-of-age"
2010,Uncle Boonmee Who Can Recall His Past Lives,"Drama, Fantasy","Humanity and the world around us, Faith and religion, Epic history and literature, Surreal and thought-provoking visions of life and death, Humanity's odyssey: earth and beyond, Heartbreaking and moving family drama, Tragic sadness and captivating beauty, Powerful poetic and passionate drama"
2010,Saw 3D,"Crime, Horror","Horror, the undead and monster classics, Thrillers and murder mysteries, Intense violence and sexual transgression, Gory,  gruesome,  and slasher horror, Extreme gory horror and cannibalism, Survival horror and zombie carnage, Gothic and eerie haunting horror, Graphic violence and brutal revenge"
2010,Letters to Juliet,"Drama, Romance, Comedy","Relationship comedy, Moving relationship stories, Charming romances and delightful chemistry, Laugh-out-loud relationship entanglements, Passion and romance, Captivating relationships and charming romance, Touching and sad family stories"
2010,Beginners,"Drama, Romance, Comedy","Moving relationship stories, Relationship comedy, Emotional LGBTQ relationships, Emotional life of renowned artists, Heartbreaking and moving family drama, Touching and sad family stories, Quirky and endearing relationships"
2010,The Expendables,"Action, Adventure, Thriller","Epic heroes, High speed and special ops, Explosive and action-packed heroes vs. villains, Intense combat and martial arts, Action comedy and silly heroics, Bravery in World War II, Guns,  crime,  and violent action"
2010,The Book of Eli,"Action, Science Fiction, Thriller","Faith and religion, Faith and spiritual journeys, Sins,  forgiveness,  and challenging faith, Historical battles and epic heroism, Imaginative space odysseys and alien encounters, Thought-provoking sci-fi action and future technology"
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Family, Fantasy, Adventure","Epic heroes, Epic history and literature, Fantasy adventure,  heroism,  and swordplay, Fairy-tale fantasy and enchanted magic, Sci-fi monster and dinosaur adventures, Disastrous voyages and heroic survival, Epic adventure and breathtaking battles"
2010,Valentine's Day,"Romance, Comedy","Relationship comedy, Underdogs and coming of age, Song and dance, Laugh-out-loud relationship entanglements, Teen school antics and laughter, Charming romances and delightful chemistry, Catchy songs and hilarious musical comedy, Emotional LGBTQ relationships"
2010,Burlesque,"Romance, Drama","Song and dance, Dazzling vocal performances and musicals, Dance rhythms and catchy tunes, Catchy songs and hilarious musical comedy, Legendary musicians and stardom, Emotional life of renowned artists"
2010,Due Date,"Comedy, Drama","Crude humor and satire, Relationship comedy, Funny jokes and crude humor, Gags,  jokes,  and slapstick humor, Laugh-out-loud relationship entanglements, Witty satire and amusing jokes, Catchy songs and hilarious musical comedy"
2010,Certified Copy,"Romance, Drama","Moving relationship stories, Relationship comedy, Charming romances and delightful chemistry, Captivating relationships and charming romance, Passion and romance, Lavish dramas and sumptuous royalty, Erotic relationships and desire"
2010,A Nightmare on Elm Street,"Mystery, Thriller, Horror","Horror, the undead and monster classics, Intense violence and sexual transgression, Gory,  gruesome,  and slasher horror, Gothic and eerie haunting horror, Terrifying,  haunted,  and supernatural horror, Survival horror and zombie carnage, Creepy,  chilling,  and terrifying horror"
2010,Four Lions,"Crime, Drama, Comedy","Crude humor and satire, Witty satire and amusing jokes, Funny jokes and crude humor, Politics,  propaganda,  and political documentaries, Gags,  jokes,  and slapstick humor, Military combat and heroic soldiers"
2010,Salt,"Action, Thriller, Mystery","High speed and special ops, War and historical adventure, Explosive and action-packed heroes vs. villains, Exciting spy thrillers with tense intrigue, Politics,  propaganda,  and political documentaries, War,  patriotism,  and political drama, Dangerous technology and the apocalypse"
2010,Winter's Bone,"Drama, Mystery","Crime, drugs and gangsters, Intense violence and sexual transgression, Politics and human rights, Drugs and violent crime, Emotional and touching family dramas, Gripping,  intense violent crime, Heartbreaking and moving family drama, Racism and the powerful fight for justice"
2010,It's Kind of a Funny Story,"Comedy, Drama","Underdogs and coming of age, Relationship comedy, Moving relationship stories, Teen school antics and laughter, Powerful stories of heartbreak and illness, Emotional teen coming-of-age stories, Quirky and endearing relationships, Inspiring sports underdog stories"
2010,RED,"Thriller, Crime, Action, Adventure, Comedy","High speed and special ops, Crude humor and satire, Explosive and action-packed heroes vs. villains, Action comedy and silly heroics, Exciting spy thrillers with tense intrigue, Adrenaline-fueled action and fast cars, Guns,  crime,  and violent action"
2010,Somewhere,Drama,"Moving relationship stories, Humanity and the world around us, Relationship comedy, Underdogs and coming of age, Erotic relationships and desire, Heartbreaking and moving family drama, Dance rhythms and catchy tunes, Teen friendship and coming-of-age, Captivating relationships and charming romance"
2010,Eat Pray Love,"Drama, Romance","Relationship comedy, Moving relationship stories, Faith and religion, Charming romances and delightful chemistry, Passion and romance, Heartbreaking and moving family drama, Erotic relationships and desire, Humanity's odyssey: earth and beyond"
2010,Prince of Persia: The Sands of Time,"Adventure, Fantasy, Action","Epic heroes, Epic history and literature, Fantasy adventure,  heroism,  and swordplay, Historical battles and epic heroism, Intense combat and martial arts, Epic adventure and breathtaking battles, Superheroes in action-packed battles with villains"
2010,Predators,"Science Fiction, Action, Thriller","Monsters, aliens, sci-fi and the apocalypse, Epic heroes, Sci-fi monster and dinosaur adventures, Imaginative space odysseys and alien encounters, Sci-fi horror,  creatures,  and aliens, Action-packed space and alien sagas, Thought-provoking sci-fi action and future technology"
2010,Clash of the Titans,"Fantasy, Action, Adventure","Epic heroes, Epic history and literature, Monsters, aliens, sci-fi and the apocalypse, Fantasy adventure,  heroism,  and swordplay, Sci-fi monster and dinosaur adventures, Historical battles and epic heroism, Intense combat and martial arts, Superheroes in action-packed battles with villains"
2010,Leap Year,"Romance, Comedy","Relationship comedy, Laugh-out-loud relationship entanglements, Charming romances and delightful chemistry, Catchy songs and hilarious musical comedy, Touching and sad family stories, Holiday joy and heartwarming Christmas"
2010,Hot Tub Time Machine,"Comedy, Adventure, Science Fiction","Crude humor and satire, Relationship comedy, Underdogs and coming of age, Funny jokes and crude humor, Teen school antics and laughter, Catchy songs and hilarious musical comedy, Gags,  jokes,  and slapstick humor, Laugh-out-loud relationship entanglements"
2010,The Tourist,"Thriller, Action, Romance","High speed and special ops, Thrillers and murder mysteries, Crime, drugs and gangsters, Heists and thrilling action, Exciting spy thrillers with tense intrigue, Intriguing and suspenseful murder mysteries, Explosive and action-packed heroes vs. villains, Captivating relationships and charming romance"
2010,Batman: Under the Red Hood,"Science Fiction, Animation, Mystery, Action, Crime","Epic heroes, Crime, drugs and gangsters, High speed and special ops, Intense combat and martial arts, Superheroes in action-packed battles with villains, Guns,  crime,  and violent action, Explosive and action-packed heroes vs. villains, Thought-provoking sci-fi action and future technology"
2010,Biutiful,Drama,"Moving relationship stories, Faith and religion, Heartbreaking and moving family drama, Tragic sadness and captivating beauty, Powerful stories of heartbreak and illness, Emotional and touching family dramas, Surreal and thought-provoking visions of life and death"
2010,Paranormal Activity 2,"Horror, Mystery","Horror, the undead and monster classics, Intense violence and sexual transgression, Terrifying,  haunted,  and supernatural horror, Gory,  gruesome,  and slasher horror, Gothic and eerie haunting horror, Creepy,  chilling,  and terrifying horror, Survival horror and zombie carnage"
2010,Knight and Day,"Comedy, Action","High speed and special ops, Crude humor and satire, Epic heroes, Explosive and action-packed heroes vs. villains, Action comedy and silly heroics, Adrenaline-fueled action and fast cars, Air pilot heroism and survival, Superheroes in action-packed battles with villains"
2010,Jackass 3D,"Comedy, Action, Documentary","Crude humor and satire, Underdogs and coming of age, Funny jokes and crude humor, Catchy songs and hilarious musical comedy, Gags,  jokes,  and slapstick humor, Teen school antics and laughter, Western frontier dramas with a touch of humor"
2010,Super,"Action, Drama, Comedy","Crude humor and satire, Crime, drugs and gangsters, Intense violence and sexual transgression, Action comedy and silly heroics, Guns,  crime,  and violent action, Graphic violence and brutal revenge, Funny jokes and crude humor, Gags,  jokes,  and slapstick humor"
2011,Drive,"Thriller, Drama, Crime","Crime, drugs and gangsters, High speed and special ops, Adrenaline-fueled action and fast cars, Heists and thrilling action, Brutal,  violent prison drama, Gritty crime and ruthless gangsters, Guns,  crime,  and violent action"
2011,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Fantasy","Epic history and literature, Epic heroes, Fantasy adventure,  heroism,  and swordplay, Historical battles and epic heroism, Captivating vision and Shakespearean drama, Intense combat and martial arts, Epic adventure and breathtaking battles"
2011,Captain America: The First Avenger,"Science Fiction, Action, Adventure","War and historical adventure, Epic heroes, High speed and special ops, Bravery in World War II, Explosive and action-packed heroes vs. villains, Superheroes in action-packed battles with villains, The Nazis and World War II, Military combat and heroic soldiers"
2011,Thor,"Fantasy, Action, Adventure","Epic heroes, Epic history and literature, Monsters, aliens, sci-fi and the apocalypse, Fantasy adventure,  heroism,  and swordplay, Superheroes in action-packed battles with villains, Action-packed space and alien sagas, Imaginative space odysseys and alien encounters, Sci-fi monster and dinosaur adventures"
2011,"Crazy, Stupid, Love.","Romance, Drama, Comedy","Relationship comedy, Underdogs and coming of age, Crude humor and satire, Laugh-out-loud relationship entanglements, Charming romances and delightful chemistry, Quirky and endearing relationships, Catchy songs and hilarious musical comedy, Teen school antics and laughter"
2011,Midnight in Paris,"Fantasy, Comedy, Romance","Relationship comedy, Song and dance, Humanity and the world around us, Charming romances and delightful chemistry, Captivating relationships and charming romance, Emotional life of renowned artists, Catchy songs and hilarious musical comedy, Laugh-out-loud relationship entanglements"
2011,The Cabin in the Woods,"Horror, Fantasy","Horror, the undead and monster classics, Monsters, aliens, sci-fi and the apocalypse, Survival horror and zombie carnage, Gory,  gruesome,  and slasher horror, Bloody vampire horror, Terrifying,  haunted,  and supernatural horror, Sci-fi horror,  creatures,  and aliens"
2011,The Girl with the Dragon Tattoo,"Thriller, Crime, Mystery","Thrillers and murder mysteries, Intense violence and sexual transgression, Graphic violence and brutal revenge, Suspenseful crime thrillers, Intriguing and suspenseful murder mysteries, Film-noir and dark crime dramas, Gothic and eerie haunting horror"
2011,Moneyball,Drama,"Underdogs and coming of age, Inspiring sports underdog stories, Underdog fighting and boxing stories, Engaging casino gambling drama, Teen friendship and coming-of-age, Laugh-out-loud relationship entanglements"
2011,X-Men: First Class,"Science Fiction, Adventure, Action","War and historical adventure, High speed and special ops, Monsters, aliens, sci-fi and the apocalypse, Epic heroes, Bravery in World War II, Dangerous technology and the apocalypse, Exciting spy thrillers with tense intrigue, The Nazis and World War II, Explosive and action-packed heroes vs. villains"
2011,We Need to Talk About Kevin,"Thriller, Drama","Intense violence and sexual transgression, Moving relationship stories, Gripping,  intense violent crime, Emotional and touching family dramas, Twisted dark psychological thriller, Terrifying,  haunted,  and supernatural horror, Challenging or sexual themes & twists"
2011,Rango,"Comedy, Adventure, Animation, Western, Family","Westerns, Western frontier dramas with a touch of humor, Wild west outlaws and gunfights, Adorable animals and heartwarming families, Kids' animated fun and adventure, Fairy-tale fantasy and enchanted magic"
2011,The Tree of Life,"Drama, Fantasy","Faith and religion, Humanity and the world around us, Moving relationship stories, Sins,  forgiveness,  and challenging faith, Surreal and thought-provoking visions of life and death, Heartbreaking and moving family drama, Humanity's odyssey: earth and beyond, Emotional and touching family dramas"
2011,Melancholia,"Science Fiction, Drama","Faith and religion, Humanity and the world around us, Moving relationship stories, Imaginative space odysseys and alien encounters, Surreal and thought-provoking visions of life and death, Humanity's odyssey: earth and beyond, Powerful stories of heartbreak and illness, Heartbreaking and moving family drama"
2011,Scream 4,"Horror, Mystery","Horror, the undead and monster classics, Intense violence and sexual transgression, Thrillers and murder mysteries, Gory,  gruesome,  and slasher horror, Survival horror and zombie carnage, Gothic and eerie haunting horror, Terrifying,  haunted,  and supernatural horror, Spooky,  scary comedy"
2011,The Intouchables,"Comedy, Drama","Relationship comedy, Moving relationship stories, Captivating relationships and charming romance, Charming romances and delightful chemistry, Witty satire and amusing jokes, Laugh-out-loud relationship entanglements, Emotional LGBTQ relationships"
2011,Rise of the Planet of the Apes,"Drama, Science Fiction, Action, Thriller","Monsters, aliens, sci-fi and the apocalypse, Epic heroes, Imaginative space odysseys and alien encounters, Sci-fi monster and dinosaur adventures, Dangerous technology and the apocalypse, Thought-provoking sci-fi action and future technology, Humanity's odyssey: earth and beyond"
2011,Bridesmaids,"Romance, Comedy","Relationship comedy, Crude humor and satire, Laugh-out-loud relationship entanglements, Funny jokes and crude humor, Catchy songs and hilarious musical comedy, Gags,  jokes,  and slapstick humor, Witty satire and amusing jokes"
2011,Mission: Impossible – Ghost Protocol,"Thriller, Action, Adventure","High speed and special ops, Monsters, aliens, sci-fi and the apocalypse, Epic heroes, Explosive and action-packed heroes vs. villains, Exciting spy thrillers with tense intrigue, Adrenaline-fueled action and fast cars, Action comedy and silly heroics, Dangerous technology and the apocalypse"
2011,Hugo,"Adventure, Family, Drama","Epic history and literature, Humanity and the world around us, Captivating relationships and charming romance, Holiday joy and heartwarming Christmas, Lavish dramas and sumptuous royalty, Fairy-tale fantasy and enchanted magic, Humanity's odyssey: earth and beyond"
2011,The Help,Drama,"Politics and human rights, Faith and religion, Racism and the powerful fight for justice, Sins,  forgiveness,  and challenging faith, Riveting political and presidential drama, Emotional and touching family dramas, Teen friendship and coming-of-age"
2011,Cars 2,"Family, Adventure, Comedy, Animation","High speed and special ops, Adrenaline-fueled action and fast cars, Kids' animated fun and adventure, Adorable animals and heartwarming families, Action comedy and silly heroics, Exciting spy thrillers with tense intrigue"
2011,The Twilight Saga: Breaking Dawn – Part 1,"Fantasy, Adventure, Romance","Horror, the undead and monster classics, Moving relationship stories, Bloody vampire horror, Gothic and eerie haunting horror, Erotic relationships and desire, Extreme gory horror and cannibalism"
2011,Kung Fu Panda 2,"Animation, Family","Epic heroes, Intense combat and martial arts, Fantasy adventure,  heroism,  and swordplay, Adorable animals and heartwarming families, Kids' animated fun and adventure, Superheroes in action-packed battles with villains"
2011,The Skin I Live In,"Thriller, Mystery, Drama, Horror","Intense violence and sexual transgression, Horror, the undead and monster classics, Gothic and eerie haunting horror, Graphic violence and brutal revenge, Chilling experiments and classic monster horror, Challenging or sexual themes & twists, Erotic relationships and desire"
2011,Pirates of the Caribbean: On Stranger Tides,"Action, Fantasy, Adventure","Epic heroes, Epic history and literature, Fantasy adventure,  heroism,  and swordplay, Sci-fi monster and dinosaur adventures, Disastrous voyages and heroic survival, Epic adventure and breathtaking battles, Superheroes in action-packed battles with villains"
2011,The Hangover Part II,Comedy,"Crude humor and satire, Relationship comedy, Funny jokes and crude humor, Gags,  jokes,  and slapstick humor, Catchy songs and hilarious musical comedy, Laugh-out-loud relationship entanglements, Teen school antics and laughter"
2011,Contagion,"Drama, Science Fiction, Thriller","Monsters, aliens, sci-fi and the apocalypse, Dangerous technology and the apocalypse, Politics,  propaganda,  and political documentaries, Imaginative space odysseys and alien encounters, Survival horror and zombie carnage, Intense terrorist and political thrillers"
2011,Friends with Benefits,"Romance, Comedy","Relationship comedy, Crude humor and satire, Song and dance, Underdogs and coming of age, Laugh-out-loud relationship entanglements, Teen school antics and laughter, Catchy songs and hilarious musical comedy, Emotional LGBTQ relationships, Charming romances and delightful chemistry"
2011,Super 8,"Science Fiction, Thriller, Mystery","Monsters, aliens, sci-fi and the apocalypse, Sci-fi monster and dinosaur adventures, Imaginative space odysseys and alien encounters, Action-packed space and alien sagas, Sci-fi horror,  creatures,  and aliens, Dangerous technology and the apocalypse"
2011,Shame,Drama,"Moving relationship stories, Intense violence and sexual transgression, Humanity and the world around us, Erotic relationships and desire, Challenging or sexual themes & twists, Emotional LGBTQ relationships, Emotional life of renowned artists, Emotional teen coming-of-age stories"
2011,The Adventures of Tintin,"Mystery, Animation, Adventure","Epic heroes, Fantasy adventure,  heroism,  and swordplay, Superheroes in action-packed battles with villains, Adorable animals and heartwarming families, Kids' animated fun and adventure, Disastrous voyages and heroic survival"
2011,Fast Five,"Thriller, Crime, Action","High speed and special ops, Crime, drugs and gangsters, Adrenaline-fueled action and fast cars, Explosive and action-packed heroes vs. villains, Heists and thrilling action, Guns,  crime,  and violent action, Brutal,  violent prison drama"
2011,The Raid,"Thriller, Crime, Action","Epic heroes, High speed and special ops, Crime, drugs and gangsters, Intense combat and martial arts, Explosive and action-packed heroes vs. villains, Guns,  crime,  and violent action, Brutal,  violent prison drama, Adrenaline-fueled action and fast cars"
2011,Sherlock Holmes: A Game of Shadows,"Adventure, Crime, Mystery, Action","Epic heroes, High speed and special ops, Thrillers and murder mysteries, Intriguing and suspenseful murder mysteries, Explosive and action-packed heroes vs. villains, Exciting spy thrillers with tense intrigue, Intense combat and martial arts, Fantasy adventure,  heroism,  and swordplay"
2011,50/50,"Drama, Comedy","Relationship comedy, Moving relationship stories, Crude humor and satire, Underdogs and coming of age, Laugh-out-loud relationship entanglements, Quirky and endearing relationships, Powerful stories of heartbreak and illness, Touching and sad family stories, Funny jokes and crude humor"
2011,In Time,"Science Fiction, Thriller, Action","High speed and special ops, Monsters, aliens, sci-fi and the apocalypse, Crime, drugs and gangsters, Thought-provoking sci-fi action and future technology, Imaginative space odysseys and alien encounters, Explosive and action-packed heroes vs. villains, Adrenaline-fueled action and fast cars, Heists and thrilling action"
2011,Limitless,"Science Fiction, Mystery, Thriller","Crime, drugs and gangsters, High speed and special ops, Thrillers and murder mysteries, Engaging casino gambling drama, Drugs and violent crime, Thought-provoking sci-fi action and future technology, Gritty crime and ruthless gangsters, Guns,  crime,  and violent action"
2011,Rio,"Animation, Adventure, Comedy, Family","Song and dance, Adorable animals and heartwarming families, Holiday joy and heartwarming Christmas, Kids' animated fun and adventure, Fairy-tale fantasy and enchanted magic, Catchy songs and hilarious musical comedy"
2011,Puss in Boots,"Fantasy, Family, Animation, Comedy, Adventure","Epic heroes, Westerns, Holiday joy and heartwarming Christmas, Kids' animated fun and adventure, Adorable animals and heartwarming families, Fairy-tale fantasy and enchanted magic, Western frontier dramas with a touch of humor"
2011,Source Code,"Mystery, Thriller, Science Fiction","Monsters, aliens, sci-fi and the apocalypse, High speed and special ops, War and historical adventure, Imaginative space odysseys and alien encounters, Thought-provoking sci-fi action and future technology, Explosive and action-packed heroes vs. villains, Air pilot heroism and survival, Dangerous technology and the apocalypse"
2011,Horrible Bosses,"Comedy, Crime","Crude humor and satire, Relationship comedy, Funny jokes and crude humor, Gags,  jokes,  and slapstick humor, Catchy songs and hilarious musical comedy, Laugh-out-loud relationship entanglements, Spooky,  scary comedy"
