,nominee,WinGG,WinBAFTA,WinSAG
67,Amy Madigan,True,False,False
68,Amy Poehler,True,False,False
69,Amy Ryan,False,False,True
70,Amy Schumer,False,False,False
71,Amelie,False,False,False
72,Ana de Armas,False,False,False
73,And Now My Love,False,False,False
74,Andie MacDowell,False,False,False
75,Andre Braugher,False,False,False
76,Andrea Marcovicci,False,False,False
77,Andrew Garfield,False,False,False
78,Andrew Strong,False,False,False
79,Andy Garcia,False,False,False
80,Andy Samberg,True,False,False
81,Angel Tompkins,False,False,False
82,Angela Bassett,True,False,True
83,Angela Lansbury,True,False,True
84,Angelina Jolie,True,False,True
85,Angie Dickinson,True,False,False
86,Anita Ekberg,True,False,False
87,Anita Skinner,False,False,False
88,Anjelica Huston,True,False,False
89,Ann Dowd,False,False,False
90,Ann Jillian,True,False,False
91,Ann Sothern,False,False,False
92,Ann Todd,False,False,False
93,Ann Turkel,False,False,False
94,Ann-Margret,True,False,False
95,Anna Calder Marshall,False,False,False
96,Anna Friel,False,False,False
97,Anna Kendrick,False,False,False
98,Anna Magnani,True,True,False
99,Anna Paquin,True,False,False
100,Anne Archer,False,False,False
101,Anne Bancroft,True,True,False
102,Anne Baxter,True,False,False
103,Anne Ditchburn,False,False,False
104,Anne Hathaway,True,False,True
105,Anne Heywood,False,False,False
106,Anne Jeffreys,False,False,False
107,Anne Meara,False,False,False
108,Anne Ramsey,False,False,False
109,Annette Bening,True,False,True
110,Annette Crosbie,False,False,False
111,Annette O'Toole,False,False,False
112,Annie Girardot,False,False,False
113,Annie Potts,False,False,False
115,Anouk Aimee,True,True,False
116,Ansel Elgort,False,False,False
117,Anthony Anderson,False,False,False
118,Anthony Andrews,True,False,True
119,Anthony Edwards,True,False,True
120,Anthony Franciosa,True,False,False
121,Anthony Hancock,False,False,False
122,Anthony Hopkins,False,True,False
123,Anthony LaPaglia,True,False,False
124,Anthony Quayle,False,False,False
125,Anthony Quinn,False,False,False
126,Anthony Ray,False,False,False
127,Antonio Banderas,False,False,False
128,Apocalypto,False,False,False
"129,""Apprenticeship of Duddy Kravitz, The"",False,False,False"
130,Archie Panjabi,False,False,False
131,Armand Assante,False,False,False
132,Armie Hammer,False,False,False
133,Arnold Schwarzenegger,False,False,False
134,Art Carney,True,False,False
135,Art Garfunkel,False,False,False
136,Artemisia,False,False,False
137,Arthur Kennedy,True,False,False
138,Arthur Lowe,False,True,False
139,Ashley Judd,False,False,False
"140,""Assault, The"",True,False,False"
141,Atlantic City,False,False,False
142,Audra Lindley,False,False,False
143,Audrey Hepburn,True,True,True
144,Augusta Dabney,False,False,False
145,Autumn Sonata,True,False,False
146,Ava Gardner,False,False,False
147,Awkwafina,True,False,False
148,Aziz Ansari,True,False,False
149,Baara,False,False,False
150,Babette's Feast,False,False,False
151,Balzac and The Little Chinese Seamstress,False,False,False
152,Barbara Bel Geddes,False,False,False
153,Barbara Carrera,False,False,False
154,Barbara Eden,False,False,False
155,Barbara Ferris,False,False,False
156,Barbara Hancock,False,False,False
157,Barbara Harris,False,False,False
158,Barbara Hershey,True,False,False
159,Barbara Jefford,False,False,False
160,Barbara Mandrell,False,False,False
161,Barbara Rush,True,False,False
162,Barbara Sigel,False,False,False
163,Barbara Stanwyck,True,False,True
164,Barbara Windsor,False,False,False
165,Barbra Streisand,True,False,False
166,Barkhad Abdi,False,False,False
167,Barry Fitzgerald,True,False,False
168,Barry Newman,False,False,False
169,Barry Pepper,False,False,False
170,Beah Richards,False,False,False
171,Beanie Feldstein,False,False,False
172,Beatrice Arthur,False,False,False
173,Beau Bridges,True,False,False
174,Behind The Sun,False,False,False
175,Bella Darvi,True,False,False
176,Ben Affleck,False,False,True
177,Ben Johnson,True,True,False
178,Ben Kingsley,True,True,True
179,Ben Platt,False,False,False
180,Benedict Cumberbatch,False,False,False
181,Benicio Del Toro,False,True,True
182,Benicio del Toro,True,False,False
183,Bernadette Peters,True,False,False
184,Bernard Cribbins,False,False,False
185,Bernie Mac,False,False,False
186,Beryl Reid,False,False,False
187,Beth Howland,False,False,False
188,Betsy Blair,False,True,False
189,Bette Davis,False,False,False
190,Bette Midler,True,False,False
191,Betty Blue,False,False,False
192,Betty Garrett,True,False,False
193,Betty White,False,False,True
194,Beverly D'Angelo,False,False,False
195,Beyonce,False,False,False
196,Bibi Andersson,False,False,False
197,Bill Cosby,True,False,False
198,Bill Hader,False,False,False
199,Bill Murray,True,False,False
200,Bill Nighy,True,False,False
201,Bill Paxton,False,False,True
202,Billie Whitelaw,False,True,False
203,Billy Bob Thornton,True,False,False
204,Billy Crystal,False,False,False
205,Billy Porter,False,False,False
206,Bing Crosby,False,False,False
207,Bitty Schram,False,False,False
208,Biutiful,False,False,False
209,Bizet's Carmen,False,False,False
210,Bjurk,False,False,False
211,Blair Brown,False,False,True
212,Blue is the Warmest Color,False,False,False
213,Blythe Danner,False,False,False
214,Bo Derek,False,False,False
215,Bob Hope,False,False,True
216,Bob Hoskins,True,True,False
217,Bob Newhart,False,False,False
218,Bob Odenkirk,False,False,True
219,Bobby Darin,False,False,False
220,Body Heat,False,False,False
221,Bombshell,False,False,False
222,Bonnie Bedelia,False,False,False
223,Bonnie Franklin,False,False,False
224,Bonnie Hunt,False,False,False
225,Brad Davis,False,False,False
226,Brad Dourif,False,True,False
227,Brad Pitt,True,True,True
228,Bradley Cooper,False,False,True
229,Breaker Morant,False,False,False
230,Brenda Blethyn,True,False,False
231,Brenda De Banzie,False,False,False
232,Brenda Fricker,False,False,False
233,Brenda Vaccaro,True,False,False
234,Brendan Gleeson,False,False,False
235,Brett Butler,False,False,False
236,Brian Cox,True,False,False
237,Brian Dennehy,True,False,True
238,Bridget Fonda,False,False,False
239,Brie Larson,True,True,True
240,Brigitte Bardot,False,False,False
241,Broderick Crawford,True,False,False
242,Broken Embraces,False,False,False
243,Brooke Shields,False,False,False
244,Brother of Sleep,False,False,False
245,Bruce Davison,True,False,False
246,Bruce Dern,False,False,False
247,Bruce Willis,True,False,False
248,Bryan Cranston,True,False,True
249,Bryce Dallas Howard,False,False,True
250,Bud Cort,False,False,False
251,Burgess Meredith,False,False,False
252,Burl Ives,True,False,False
253,Burt Lancaster,True,True,True
254,Burt Reynolds,True,False,False
255,Berenice Bejo,False,False,False
"256,""Cage aux Folles, La"",True,False,False"
257,Caitriona Balfe,False,False,False
258,Calista Flockhart,True,False,True
259,Callie Thorne,False,False,False
260,Cameron Diaz,False,False,False
261,Camilla Sparv,True,False,False
262,Camille Claudel,False,False,False
263,Camryn Manheim,True,False,False
"264,""Canada, Mark Rydell"",True,False,False"
"265,""Canada, Paul Almond"",False,False,False"
266,Candice Bergen,True,False,False
267,Cantinflas,True,False,False
268,Capernaum,False,False,False
269,Cara Williams,False,False,False
270,Carey Mulligan,False,False,False
271,Carl Anderson,False,False,False
272,Carmen,False,False,False
273,Carol Burnett,True,False,True
274,Carol Channing,True,False,False
275,Carol Kane,False,False,False
276,Carol Lynley,False,False,False
277,Carolyn Jones,True,False,False
278,Carrie Snodgress,True,False,False
279,Carroll Baker,True,False,False
280,Carroll O'Connor,True,False,False
281,Cary Grant,False,False,False
282,Casey Affleck,True,True,False
283,Cate Blanchett,True,False,True
284,Catherine Deneuve,False,False,False
285,Catherine Keener,False,False,False
286,Catherine Zeta-Jones,False,False,True
287,Cathy Moriarty,False,False,False
288,Cathy Tyson,False,False,False
289,Cecilia Peck,False,False,False
290,Celeste Holm,True,False,False
291,Celia Johnson,False,True,False
292,Celia Kaye,True,False,False
293,Central Station,True,False,False
294,Cesar Romero,False,False,False
295,Chad Everett,False,False,False
296,Chariots of Fire,True,False,False
297,Charles Boyer,False,False,False
298,Charles Durning,False,False,True
299,Charles Grodin,False,False,False
300,Charles Laughton,False,False,False
301,Charles S. Dutton,False,False,False
302,Charlie Sheen,True,False,False
303,Charlize Theron,True,False,True
304,Charlotte Coleman,False,False,False
305,Charlotte Rampling,False,False,False
306,Charlton Heston,False,False,True
307,Cher,True,False,False
308,Chevy Chase,False,False,False
309,Chief Dan George,False,False,False
310,Chiwetel Ejiofor,False,False,False
311,Chloe Sevigny,True,False,False
312,Chris Cooper,True,False,True
313,Chris O'Donnell,False,False,False
314,Chrissy Metz,False,False,True
315,Christian Bale,True,False,True
316,Christina Applegate,False,False,False
317,Christina Ricci,False,False,False
318,Christine Baranski,False,False,True
319,Christine Kaufmann,True,False,False
320,Christine Lahti,True,False,False
321,Christoph Waltz,True,False,True
322,Christopher Abbott,False,False,False
323,Christopher Plummer,True,False,True
324,Christopher Reeve,False,True,True
325,Christopher Walken,False,False,True
326,Cicely Tyson,False,False,True
327,Cillian Murphy,False,False,False
328,Cindy Robbins,False,False,False
329,Cindy Williams,False,False,False
330,Cinema Paradiso,True,False,False
331,City of God,False,False,False
332,Claire Danes,True,False,True
333,Claire Foy,True,False,True
334,Clark Gable,False,False,False
335,Claude Laydu,False,False,False
336,Claudette Colbert,True,False,False
337,Claudia McNeil,False,False,False
338,Cleavon Little,False,False,False
339,Cliff Robertson,False,False,False
340,Clifton Webb,True,False,False
341,Clive Owen,True,False,True
342,Clive Revill,False,False,False
343,Cloris Leachman,True,True,False
344,Close to Eden,False,False,False
345,Colette Marchand,True,False,False
346,Colin Blakely,False,False,False
347,Colin Farrell,True,False,False
348,Colin Firth,True,False,True
349,Colin Welland,False,True,False
350,Colm Meaney,False,False,False
351,Colonel Redl,False,False,False
352,Connie Britton,False,False,False
353,Connie Sellecca,False,False,False
354,Constance Wu,False,False,False
355,Corbin Bernsen,False,False,False
356,Cordula Trantow,False,False,False
357,Cornell Borchers,False,True,False
358,Courteney Cox,False,False,True
359,Courtney B. Vance,False,False,False
360,Courtney Love,False,False,False
"361,""Cousin, Cousine"",False,False,False"
362,Craig T. Nelson,False,False,False
"363,""Crouching Tiger, Hidden Dragon"",True,False,False"
364,Cra Cuervos,False,False,False
365,Cuba Gooding Jr.,False,False,False
366,Curt Jurgens,False,False,False
367,Cybill Shepherd,True,False,False
368,Cynthia Erivo,False,False,False
369,Cynthia Gibb,False,False,False
370,Cynthia Nixon,False,False,True
371,Cyrano De Bergerac (1990),True,False,False
372,Cyril Delevanti,False,False,False
"373,""Czechoslovakia, Jir=Weiss"",False,False,False"
374,Dabney Coleman,True,False,True
375,Daliah Lavi,False,False,False
376,Damian Lewis,True,False,False
377,Dan Dailey,True,False,False
378,Dana Delaney,False,False,False
379,Dana Wynter,True,False,False
380,Dangerous Curves (UK),True,False,False
381,Dangerous Moves,False,False,False
382,Daniel Auteuil,False,True,False
383,Daniel Benzali,False,False,False
384,Daniel Brahl,False,False,False
385,Daniel Craig,False,False,False
386,Daniel Day-Lewis,True,True,True
387,Daniel J. Travanti,True,False,False
388,Daniel Kaluuya,False,False,True
389,Daniel Massey,True,False,False
390,Daniela Rocca,False,False,False
391,Danielle Brisebois,False,False,False
392,Danny Aiello,False,False,False
393,Danny DeVito,False,False,False
394,Danny Kaye,True,False,True
395,Danny Thomas,False,False,False
396,Dark Eyes,False,False,False
397,Darleen Carr,False,False,False
398,Darren Criss,True,False,True
399,Das Boot,False,False,False
400,David Bradley,False,True,False
401,David Brian,False,False,False
402,David Carradine,False,False,False
403,David Caruso,True,False,False
404,David Duchovny,True,False,False
405,David Essex,False,False,False
406,David Frost,False,False,False
407,David Hartman,False,False,False
408,David Keith,False,False,False
409,David Kossoff,False,False,False
410,David Ladd,False,False,False
411,David Niven,True,False,False
412,David Oyelowo,False,False,False
413,David Paymer,False,False,False
414,David Strathairn,False,False,False
415,David Suchet,False,False,False
416,David Warner,False,False,False
417,Day for Night,False,False,False
418,Dean Jones,False,False,False
419,Dean Martin,False,False,False
420,Dean Stockwell,False,False,False
421,Death on the Nile,False,False,False
422,Debbie Allen,True,False,False
423,Debbie Reynolds,False,False,True
424,Deborah Kerr,False,False,False
425,Deborah Raffin,False,False,False
426,Debra Messing,False,False,True
427,Debra Winger,False,False,False
"428,""Deep End, The"",False,False,False"
429,Della Reese,False,False,False
430,Delores Taylor,False,False,False
431,Delphine Seyrig,False,False,False
432,Demi Moore,False,False,False
433,Denholm Elliott,False,True,False
434,Denis Leary,False,False,False
435,Denise Nicholas,False,False,False
436,Dennis Christopher,False,True,False
437,Dennis Franz,True,False,True
438,Dennis Hopper,False,False,False
439,Dennis Quaid,False,False,True
440,Denzel Washington,True,False,True
441,Derek Jacobi,False,False,True
442,Dev Patel,False,True,True
443,Dexter Gordon,False,False,False
444,Diahann Carroll,False,False,False
445,Diana Rigg,False,False,False
446,Diana Ross,True,False,False
447,Diane Baker,False,False,False
448,Diane Keaton,True,True,False
449,Diane Ladd,True,True,False
450,Diane Lane,False,False,False
451,Diane Varsi,True,False,False
452,Diane Venora,False,False,False
453,Dianne Wiest,True,False,True
454,Dick Van Dyke,False,False,True
455,Dinah Shore,False,False,False
456,Dirk Bogarde,False,True,False
457,Divines,False,False,False
458,Djimon Hounsou,False,False,False
459,Dolly Parton,False,False,False
460,Dom De Luise,False,False,False
461,Dominic Guard,False,True,False
462,Dominic West,False,False,True
463,Don Cheadle,True,False,True
464,Don Johnson,True,False,False
465,Dona Flor and Her Two Husbands,False,False,False
466,Donald Glover,True,False,False
467,Donald O'Connor,True,False,False
468,Donald Sutherland,False,False,False
469,Donald Wolfit,False,False,False
470,Donna Butterworth,False,False,False
471,Donna Pescow,False,False,False
472,Dora Bryan,False,True,False
473,Doris Day,False,False,False
474,Dorothy Allison,False,False,False
475,Dorothy Dandridge,False,False,False
476,Dorothy Malone,False,False,False
477,Dorothy Tutin,False,False,False
478,Dr Haing S Ngor,False,True,False
479,Drea de Matteo,False,False,False
"480,""Dream of Passion, A"",False,False,False"
481,Drew Barrymore,True,False,True
482,Dudley Moore,True,False,False
483,Duncan Macrae,False,False,False
484,Dustin Hoffman,True,True,False
485,Dyan Cannon,True,False,False
486,Dylan McDermott,True,False,False
487,ET: The Extra-Terrestrial,False,False,False
488,Earl Holliman,True,False,False
489,East/West,False,False,False
490,Eat Drink Man Woman,False,False,False
491,Ed Asner,True,False,False
492,Ed Begley,False,False,False
493,Ed Harris,True,False,True
494,Ed O'Neill,False,False,True
495,Ed Wynn,False,False,False
496,Eddie Albert,False,False,False
497,Eddie Murphy,True,False,True
498,Eddie Redmayne,True,False,True
499,Edgar Ramirez,False,False,False
500,Edie Falco,True,False,True
501,Edith Evans,True,True,False
502,Edmond O'Brien,True,False,False
503,Edmund Gwenn,True,False,False
504,Educating Rita,False,False,False
505,Edward Albert,False,False,False
506,Edward Fox,False,True,False
507,Edward James Olmos,False,False,False
508,Edward Norton,True,False,True
509,Edward Woodward,True,False,False
510,Edwige Feuillire,False,False,False
511,Efrem Zimbalist Jr.,False,False,False
512,Eileen Atkins,False,False,True
513,Eileen Brennan,True,False,False
514,Eileen Heckart,True,False,False
515,Eleanor Parker,False,False,False
516,Elena Verdugo,False,False,False
517,Eli Wallach,False,False,False
518,Elisabeth Moss,True,False,True
519,Elisabeth Shue,False,False,False
520,Elizabeth Ashley,False,False,False
521,Elizabeth Hartman,True,False,False
522,Elizabeth McGovern,False,False,False
523,Elizabeth Montgomery,False,False,False
524,Elizabeth Perkins,False,False,False
525,Elizabeth Spriggs,False,False,False
526,Elizabeth Taylor,True,True,True
527,Elke Sommer,True,False,False
528,Ella Lambetti,False,False,False
529,Elle,True,False,False
530,Ellen Barkin,False,False,False
531,Ellen Burstyn,True,True,False
532,Ellen Corby,True,False,False
533,Ellen DeGeneres,False,False,False
534,Ellen Page,False,False,False
535,Ellen Pompeo,False,False,True
536,Elliott Gould,False,False,False
537,Elsa Lanchester,True,False,False
538,Elsie Fisher,False,False,False
539,Emily Blunt,True,False,True
540,Emily Lloyd,False,False,False
541,Emily McLaughlin,False,False,False
542,Emily Watson,False,False,True
543,Emma Stone,True,True,True
544,Emma Thompson,True,True,False
545,Emmanuelle Riva,False,False,False
546,Emmy Rossum,False,False,False
547,Eric McCormack,False,False,False
548,Eric Roberts,False,False,False
549,Eric Stoltz,False,False,False
550,Erich von Stroheim,False,False,False
551,Erik Estrada,False,False,False
552,Ernest Borgnine,True,True,True
553,Estelle Getty,True,False,False
554,Estelle Hemsley,False,False,False
555,Estelle Parsons,False,False,False
556,Esther Rolle,False,False,False
557,Ethan Hawke,False,False,False
558,Europa Europa,True,False,False
"559,""Europeans, The"",False,False,False"
560,Eva Dahlbeck,False,False,False
561,Eva Green,False,False,False
562,Eva Longoria,False,False,True
563,Eva Marie Saint,False,False,False
564,Evan Rachel Wood,False,False,False
565,Evangeline Lilly,False,False,True
566,Everlasting Moments,False,False,False
567,Ewa Aulin,False,False,False
568,Ewan McGregor,True,False,False
569,Eyes of Children,True,False,False
570,F Murray Abraham,False,False,False
571,F. Murray Abraham,True,False,False
572,Face to Face,True,False,False
573,Faith Ford,False,False,False
574,Fanny & Alexander,True,False,False
575,Farewell My Concubine,True,False,False
"576,""Farewell, The"",False,False,False"
577,Farinelli: Il Castrato,True,False,False
578,Farrah Fawcett,False,False,False
579,Fay Bainter,False,False,False
580,Faye Dunaway,True,True,False
581,Felicity Huffman,True,False,True
582,Felicity Jones,False,False,False
"583,""Femme Nikita, La"",False,False,False"
584,Fernanda Montenegro,False,False,False
585,First They Killed My Father,False,False,False
586,Fitzcarraldo,False,False,False
587,Flight of the Innocent,False,False,False
588,Flip Wilson,True,False,False
589,Force Majeure,False,False,False
590,Forest Whitaker,True,False,True
591,Fran Drescher,False,False,False
592,France Nuyen,False,False,False
"593,""France, Michel Deville"",False,False,False"
"594,""France, Terence Young"",False,False,False"
595,Frances Conroy,True,False,True
596,Frances McDormand,True,True,False
597,Frances O'Connor,False,False,False
598,Francesco Golisano,False,False,False
599,Franco Citti,False,False,False
600,Frank Finlay,False,False,False
601,Frank Langella,False,False,False
602,Frank Sinatra,True,False,True
603,Frankie Muniz,False,False,False
604,Frankie Shaw,False,False,False
605,Franrier,False,True,False
606,Francois Truffaut,False,False,False
607,Fred Astaire,True,True,False
608,Fred MacMurray,False,False,False
609,Fred Savage,False,False,False
610,Freddie Highmore,False,False,False
611,Freddie Prinze,False,False,False
612,Frederic Forrest,False,False,False
613,Fredric March,True,False,False
614,French Twist,False,False,False
615,Gabourey Sidibe,False,False,False
616,Gabriel Byrne,True,False,False
617,Gabriella Pallotta,False,False,False
618,Gael Garci­a Bernal,True,False,False
619,Gail Fisher,True,False,False
620,Gallipoli,False,False,False
621,Gandhi,True,True,False
622,Garry Shandling,False,False,False
623,Gary Busey,False,False,False
624,Gary Cooper,True,False,False
625,Gary Grimes,False,False,False
626,Gary Lewis,False,False,False
627,Gary Oldman,True,True,True
628,Gary Sinise,True,False,True
629,Gavin MacLeod,False,False,False
630,Geena Davis,True,False,False
631,Gena Rowlands,True,False,False
632,Gene Hackman,True,True,True
633,Gene Kelly,False,False,True
634,Gene Wilder,False,False,False
635,Genevieve,True,False,False
636,Genevieve Bujold,True,False,False
637,Geoffrey Rush,True,False,True
638,George C Scott,False,False,False
639,George C. Scott,True,False,False
640,George Chakiris,True,False,False
641,George Clooney,True,False,True
642,George Hamilton,False,False,False
643,George Kennedy,False,False,False
644,George Peppard,False,False,False
645,George Sanders,False,False,False
646,George Segal,True,False,False
647,George Wilson,False,False,False
648,Georgia Brown,False,False,False
649,Georgia Engel,False,False,False
650,Georgina Hale,False,True,False
651,Geraldine Chaplin,False,False,False
652,Geraldine Page,True,True,False
653,Gerard Depardieu,False,False,False
654,Get Out Your Handkerchiefs,False,False,False
655,Gett: The Trial of Viviane Amsalem,False,False,False
656,Gig Young,True,False,False
657,Gilbert Roland,False,False,False
658,Gillian Anderson,True,False,True
659,Gina Lollobrigida,False,False,False
660,Gina Rodriguez,True,False,False
661,Ginger & Fred,False,False,False
662,Girl,False,False,False
663,Giulietta Masina,False,False,False
664,Gladys Knight,False,False,False
665,Glen Campbell,False,False,False
666,Glenda Jackson,True,True,False
667,Glenn Close,True,False,True
668,Glenn Ford,True,False,False
669,Gloria Grahame,False,False,False
670,Gloria Reuben,False,False,True
671,Gloria Stuart,False,False,True
672,Gloria Swanson,True,False,False
673,Glynis Johns,False,False,False
674,Goldie Hawn,True,False,False
675,Gomorrah,False,False,False
676,Good Bye Lenin!,False,False,False
"677,""Goodbye, Children"",False,False,False"
678,Gordon Jackson,False,False,False
679,Gordon Sinclair,False,False,False
680,Grace Kelly,True,False,False
681,Grayson Hall,False,False,False
682,Greer Garson,True,False,False
683,Greg Kinnear,False,False,True
684,Gregory Peck,True,False,True
685,Gregory Rozakis,False,False,False
686,Greta Baldwin,False,False,False
687,Greta Gerwig,False,False,False
688,Greta Scacchi,False,False,False
"689,""Grey Fox, The"",False,False,False"
690,Griffin Dunne,False,False,False
691,Gunnar Burnstrand,False,False,False
692,Gwen Welles,False,False,False
693,Gwyneth Paltrow,True,False,True
694,Gerard Depardieu,True,False,False
695,Hailee Steinfeld,False,False,False
696,Haing S. Ngor,True,False,False
697,Hal Linden,False,False,False
698,Haley Joel Osment,False,False,False
699,Halle Berry,True,False,True
700,Hannah Taylor Gordon,False,False,False
701,Hanussen,False,False,False
702,Harold J. Stone,False,False,False
703,Harold Lloyd,False,False,False
704,Harriet Andersson,False,False,False
705,Harrison Ford,False,False,False
706,Harry Andrews,False,False,False
707,Harry Guardino,False,False,False
708,Harry Hamlin,False,False,False
709,Harvey Keitel,False,False,False
710,Harvey Korman,False,False,False
711,Hayden Christensen,False,False,False
712,Hayden Panettiere,False,False,False
713,Hayley Atwell,False,False,False
714,Hayley Mills,True,False,False
715,Hayley Squires,False,False,False
716,Heath Ledger,True,False,True
717,Heather Locklear,False,False,False
718,Heather Sears,False,True,False
719,Hector Elizondo,False,False,False
720,Hedda,False,False,False
721,Helen Hayes,False,False,False
722,Helen Hunt,True,False,True
723,Helen Mirren,True,False,True
724,Helen Reddy,False,False,False
725,Helena Bonham Carter,False,False,True
726,Helena Kallianiotes,False,False,False
727,Henry Fonda,True,True,False
728,Henry Gibson,False,False,False
729,Henry Winkler,True,False,False
730,Hermione Baddeley,True,False,False
731,Hermione Gingold,True,False,False
732,Hero,False,False,False
733,Herschel Bernardi,False,False,False
734,High Heels,False,False,False
735,Hilary Swank,True,False,True
736,Holly Hunter,True,True,False
737,Hong Chau,False,False,False
738,Hope Davis,False,False,False
739,Hope Lange,False,False,False
740,House of Flying Daggers,False,False,False
741,Howard Da Silva,False,False,False
742,Howard E. Rollins Jr.,False,False,False
743,Hugh Bonneville,False,False,True
744,Hugh Grant,True,True,False
745,Hugh Griffith,False,False,False
746,Hugh Jackman,True,False,False
747,Hugh Laurie,True,False,True
748,Humphrey Bogart,False,False,False
749,I Am Love,False,False,False
750,I've Loved You So Long,False,False,False
751,IS Johar,False,False,False
752,Ian Bannen,False,False,False
753,Ian Hendry,False,False,False
754,Ian Holm,False,True,True
755,Ian McKellen,False,False,False
756,Ian McShane,True,False,False
757,Ida,False,False,False
758,Ida Kaminska,False,False,False
759,Idris Elba,True,False,True
760,Imelda Staunton,False,False,True
761,In A Better World,True,False,False
762,In The Fade,True,False,False
763,In The Land Of Blood And Honey,False,False,False
764,Ina Balin,True,False,False
765,Indochine,True,False,False
766,Inga Swenson,False,False,False
767,Ingrid Bergman,True,True,False
768,Ingrid Thulin,False,False,False
769,Innokenti Smoktunovsky,False,False,False
770,Irene Bedard,False,False,False
771,Irene Cara,False,False,False
772,Irene Miracle,True,False,False
773,Irene Worth,False,True,False
774,Irene Jacob,False,False,False
775,Isabel Sanford,False,False,False
776,Isabella Rossellini,False,False,False
777,Isabelle Huppert,True,True,False
778,Issa Rae,False,False,False
"779,""Italy, Franco Zeffirelli"",True,False,False"
"780,""Italy, Mikhail Kalatozov"",False,False,False"
781,J. Carroll Naish,True,False,False
782,J.K. Simmons,True,False,True
783,Jack Black,False,False,False
784,Jack Gilford,False,False,False
785,Jack Hawkins,False,False,False
786,Jack Klugman,True,False,False
787,Jack Lemmon,True,True,True
788,Jack Nicholson,True,True,True
789,Jack Palance,True,False,False
790,Jack Warden,False,False,False
791,Jack Weston,False,False,False
792,Jack Wild,False,False,False
793,Jacki Weaver,False,False,False
794,Jackie Gleason,False,False,False
795,Jacke Harry,False,False,False
796,Jaclyn Smith,False,False,False
797,Jacqueline Bisset,True,False,False
798,Jaime Pressly,False,False,False
799,Jake Gyllenhaal,False,False,False
800,James Brolin,True,False,True
801,James Caan,False,False,False
802,James Coco,False,False,False
803,James Dean,False,False,False
804,James Earl Jones,False,False,True
805,James Fox,False,True,False
806,James Franco,True,False,False
807,James Gandolfini,True,False,True
808,James Garner,True,False,True
809,James Hayter,False,False,False
810,James Mason,True,False,False
811,James McAvoy,False,False,False
812,James Nesbitt,False,False,False
813,James Spader,False,False,False
814,James Stewart,True,False,True
815,James Whitmore,True,False,False
816,James Woods,True,False,False
817,Jamie Bell,False,True,False
818,Jamie Foxx,True,False,True
819,Jamie Lee Curtis,True,True,False
820,Jan Niklas,False,False,False
821,Jan Sterling,True,False,False
822,Jan-Michael Vincent,False,False,False
823,Jane Adams,False,False,False
824,Jane Alexander,False,False,False
825,Jane Asher,False,False,False
826,Jane Curtin,False,False,False
827,Jane Fonda,True,True,False
828,Jane Horrocks,False,False,False
829,Jane Kaczmarek,False,False,False
830,Jane Krakowski,False,False,True
831,Jane Leeves,False,False,True
832,Jane Lynch,True,False,True
833,Jane Morrow,False,False,False
834,Jane Seymour,True,False,False
835,Jane Wyman,True,False,False
836,Janet Leigh,True,False,False
837,Janet Margolin,False,False,False
838,Janet McTeer,True,False,False
839,Janet Munro,True,False,False
