Actor,Followers,Is_In_IMDB,Score
Daniel Gillies,4663261,0,
John Paxton,366,0,
Becky Ann Baker,260,0,
Steve Valentine,13127,0,
Hal Fishman,,0,
Lucy Gordon,675,0,
Toni Wynne,1255,0,
Andre B. Blake,55412,0,
Tim Maculan,557,0,
Marc Vann,205,0,
Joe Bays,33,0,
Gregg Daniel,2534,0,
Rogelio T. Ramos,1901,0,
Timothy Patrick Quill,,0,
Kathryn Bryding,422,0,
Joe Virzi,366,0,
Bill E. Rogers,1735,0,
Michael Alexander,229,0,
April Parker-Jones,43116,0,
Edward Padilla,2871,0,
Robert Curtis Brown,1051,0,
Paul Terrell Clayton,27568,0,
Carolyn Neff,2367,0,
Christina Cindrich,155737,0,
Sonya Maddox,466,0,
Derrick 'Phoenix' Thomas,,0,
Jessi Collins,15519,0,
Michael McLaughlin,1712,0,
Anne Gartlan,223,0,
Emilio Rivera,721874,0,
Keith Woulard,2217,0,
Reynaldo Gallegos,4842,0,
Jim Coope,29,0,
Dean Edwards,194312,0,
Margaret Laney,668,0,
Aimee Miles,367,0,
Tanya Bond,3715,0,
Mark Kubr,2497,0,
Tony Besson,14339,0,
Ramon Adams,462,0,
A.J. Adelman,17192,0,
Angelis Alexandris,16331,0,
Dawn Marie Anderson,3666,0,
Frank Anello,36,0,
Anya Avaeva,,0,
David Backus,7652,0,
Tiffany L. Baker,3906,0,
Marc C. Cancassi,,0,
Sujeilee Candele,610,0,
Michael Ciesla,6106,0,
Irina Costa,602,0,
John Crann,26,0,
Crystal Marie Denha,138513,0,
Amy V. Dewhurst,871,0,
Paul Edney,1095,0,
Natalie Fabry,2116,0,
Keith Fausnaught,442,0,
Amanda Florian,3065,0,
Brianna Leann Florian,3679,0,
Tiffany Ashley Florian,159654,0,
Shaun Patrick Flynn,4985,0,
Logan Fry,149,0,
Kevin Fung,230,0,
Tony Galtieri,719,0,
Chuck Gerena,,0,
Brian Hopson,5152,0,
Claude Jay,733,0,
Julie Jei,117,0,
Andrew James Jones,1061,0,
Natalie Jones,3209,0,
Christopher Jude,1052,0,
Brittany Krall,88,0,
Alyssa Lakota,,0,
Tia Latrell,21125,0,
Linda Lee,722,0,
Pierangeli Llinas,233,0,
Bernadette Lords,677,0,
Sandrine Marlier,1342,0,
Laura McDavid,284,0,
Natalie McNeil,28006,0,
Daniel Mignault,314,0,
Martha Millan,3824,0,
Michele-Nanette Miller,228,0,
Claudia Katz Minnick,75,0,
Robert Myers,106899,0,
Joseph O'Brien,120534,0,
Jen Oda,3076,0,
Anjelia Pelay,7201,0,
Nick Poltoranin,0,0,
Joe Lipari,980,0,
Silvia Lombardo,1751,0,
Joe Lipari,980,0,
Silvia Lombardo,1751,0,
Jorge Mardel,41,0,
Cale McConnell,462,0,
David Dale McCue,128,0,
Tiffany Sander McKenzie,174,0,
Allen Merritt,228,0,
Olan Montgomery,1216,0,
Alex Moore,14419,0,
Shane Nolan,42903,0,
Jackson Nunn,21609,0,
Joseph O'Brien,120532,0,
Michael Papajohn,2814,0,
Salomon Passariello,,0,
Kyle David Pierce,36094,0,
Troy Polamalu,573990,0,
Michael Power,7784,0,
James Rawlings,785,0,
Kirsten Roeters,143,0,
Ben Roethlisberger,758,0,
Mark Roman,836,0,
Anthony J. Sacco,1514,0,
Eric Salazar,933,0,
Emily Schooley,1900,0,
Thomas Tull,212,0,
Chris Vaina,1939,0,
Ciarán Hinds,420,0,
Dominic West,8141,0,
Taylor Kitsch,404839,0,
Lynn Collins,144925,0,
Samantha Morton,203065,0,
Willem Dafoe,139515,0,
Thomas Haden Church,481,0,
Tobey Maguire,499785,0,
Kirsten Dunst,2304495,0,
James Franco,364210,0,
Topher Grace,571941,0,
Vanessa Reseland,273,0,
La Rivers,6825197,0,
Bria Roberts,401,0,
Luis Rosa,357470,0,
Vanessa Ross,569,0,
Brenna Roth,3552,0,
Shade Rupe,186,0,
Arick Salmea,20210,0,
Eric Shackelford,132,0,
Daniel Shafer,14783,0,
Abbey Skinner,779,0,
Kristin Somo,,0,
Jennifer Sparks,2009,0,
