Actor,Followers,Is_In_IMDB,Score,EstimatedIncome
Josh Stewart,128904,0,10.808224158165096,36.75734504591085
William Devane,104607,0,10.189183231992528,37.476953202982514
David Gyasi,24082,0,10.069777614238369,37.58397350975932
Patrick Jordan,5707,0,8.609994515311369,37.442563040867896
Joshua Elijah Reese,1080,0,6.923678532515178,31.39527064092445
Desmond Harrington,14855,0,10.244264050323965,37.4235162534672
Tomas Arana,321,0,5.713649985540649,20.485769404363708
Peter Holden,644,0,6.654848720953576,29.543660493102806
David Monahan,2496,0,7.994557403953573,36.18685482532533
Jillian Armenante,23696,0,9.812607456701308,37.76853016588504
Aja Evans,22041,0,10.23222471235423,37.4354059829914
Aldous Davidson,614,0,6.808055750236119,30.63489836820986
Wade Williams,6195,0,8.810462626963169,37.66771453761547
Jake Canuso,46865,0,11.258338189258522,36.120764842647645
Massi Furlan,51456,0,10.842131324341375,36.71179214072035
Christopher Judge,49533,0,9.69159352931429,37.8308976395937
Patrick Leahy,43339,0,9.47970244842992,37.89712373745738
Todd Gearhart,100,0,4.683944090268419,4.974061049991519
Marc Abbink,87,0,4.5420819975429785,2.2946166662873964
Isiah Adams,750,0,6.501423628198633,28.351208113073227
Charlie Alejandro,4401,0,8.440492892642444,37.18615278606816
Grant Babbitt,2341,0,7.626332696831328,34.95772044600602
Fileena Bahris,2448,0,7.796364792147855,35.57443788533658
Rick Bolander,109,0,4.7104872495573336,5.459687566458456
Scott Churchson,41325,0,11.153806725260994,36.27368734612995
Bill Cowher,1414,0,7.139248439295402,32.67475744922572
Graham Curry,516,0,6.321601536914918,26.820580936810074
Frank Fata,41854,0,10.233610619487196,37.43404319802971
Sam Harris,365239,0,12.402301792131814,34.437239177734455
Cindy Jackson,31840,0,9.972536321634244,37.66153869602476
Daniel Jordano,1711,0,7.336916742248221,33.69836491649676
Tiffany Kemp,10,0,2.224134147679574,-65.39786619420349
Alex Kruz,449,0,6.272824414106297,26.379744434463646
LeJon,67,0,4.056666064697499,-7.996046735302798
Paul Jude Letersky,139501,0,11.30179829244984,36.05656880742151
Joe Lipari,980,0,6.796912510867382,30.558786809570535
Silvia Lombardo,1750,0,7.498837651098995,34.43660851551195
David Dale McCue,128,0,4.813890303373994,7.305228545999142
Olan Montgomery,1217,0,7.201230278741969,33.01067924260184
Alex Moore,14419,0,9.489989084216996,37.89525904704297
Shane Nolan,42903,0,11.324462155499996,36.02297014103996
Jackson Nunn,21609,0,9.62291449552152,37.85859627497683
Joseph O'Brien,120543,0,11.841458628796616,35.24750512058293
Kyle David Pierce,36094,0,10.853400827946986,36.696545637011695
Troy Polamalu,573993,0,13.61496465074157,33.09648681387961
Michael Power,7783,0,8.857195702607594,37.70877735855555
James Rawlings,785,0,6.317038322266927,26.779811719792946
Ben Roethlisberger,758,0,6.827589393875345,30.767106699352638
Mark Roman,573,0,6.350188591768704,27.07378518050993
Eric Salazar,933,0,6.786360892992473,30.486251240004805
Emily Schooley,1900,0,7.809592839921444,35.61880214424673
Thomas Tull,212,0,5.343650658782646,15.660378619161861
Vincent van Ommen,2361,0,7.516237707008313,34.51078864993897
Barbara Vincent,309,0,5.75438914464355,20.970049159635096
Jason Yee,552,0,6.153920951840726,25.257769218425267
John Zion,1549,0,6.976667678524275,31.72616555148477
Alex Ziwak,907,0,7.092420616215272,32.41166600825838
Tommy Bayiokos,2788,0,8.025336136145858,36.27217464964201
Mark Falvo,159,0,5.219040605668071,13.854288817787506
Diogo Hausen,1966,0,7.49352744301127,34.413774354701445
Gary Sievers,76,0,4.469279199607123,0.8636339725572384
London May,5161,0,8.049242262924512,36.336684848993514
James Quinn,795,0,6.605646082927326,29.172324516254662
Daniel Newman,508814,0,12.284933429311524,34.600656378183714
Mark Strong,131662,0,11.803520665498237,35.304270422192445
Ciaran Hinds,1118,0,9.25852722192958,37.90092479957923
Dominic West,8142,0,8.19108599709445,36.68860653548052
James Purefoy,4250,0,8.364303571449403,37.0498745082601
Bryan Cranston,5372073,0,15.25070015150469,32.74934826340785
Polly Walker,75696,0,10.858700780090183,36.68935742217366
