Name,Followers,Score,Income
Bruce Springsteen,1564573.0,13.855884022352967,55.0
Muhammad Ali,7016088.0,15.191161473992288,55.0
Cast of The Sopranos,361134.0,12.404701906163245,52.0
Dr. Phil McGraw,1229771.0,12.55068648323867,45.0
Donald Trump,23575364.0,17.05925492406347,44.0
Simon Cowell,2268518.0,13.531118082818956,43.0
50 Cent,30052372.0,18.24915263217181,41.0
Paul McCartney,4300995.0,15.237284623832313,40.0
Celine Dion,6247023.0,15.668322327894478,40.0
Neil Diamond,189146.0,11.784911189837915,35.0
Dave Matthews Band,722352.0,13.664755631594783,30.0
Tom Hanks,9595668.0,,29.0
Tom Brady,14581550.0,15.483513851246324,29.0
Carson Palmer,115447.0,11.309319393716754,28.0
Jodie Foster,68533.0,11.523550732555131,27.0
Ronaldinho,74735115.0,16.247106480397157,26.0
Rick Warren,1043152.0,13.746798720252386,25.0
Leonardo DiCaprio,61898673.0,18.1553403677757,25.0
Kiefer Sutherland,307391.0,12.529383775401271,23.0
Renee Zellweger,87452.0,10.513264268931438,21.0
John Grisham,75686.0,11.2783316733692,21.0
Jim Carrey,3279950.0,13.919685994008814,20.0
Larry the Cable Guy,310489.0,12.86753983126243,19.0
Michelle Wie,616316.0,13.5197214709627,17.0
Scarlett Johansson,4056057.0,14.96992387974291,16.0
Halle Berry,8607833.0,16.246780640986863,16.0
Katie Couric,1696532.0,13.705889301964882,15.0
Angelina Jolie,15383697.0,17.10225597119805,14.0
Diane Sawyer,104754.0,11.225380346480124,12.0
George Lopez,1485870.0,12.88258887983539,12.0
Ryan Seacrest,6616099.0,15.13382745682888,12.0
Reese Witherspoon,29893447.0,16.599076802046337,9.0
Bill O'Reilly,277915.0,12.68283248787582,9.0
Gisele Bundchen,22209611.0,,15.2
Matthew Broderick,9430.0,,9.0
Eric Idle,900.0,6.523134103332976,9.0
Rachael Ray,1160679.0,12.3685540492775,6.0
Ty Pennington,261206.0,12.843950861479899,6.0
Mel Brooks,491.0,5.937374102180982,5.0
Mario Batali,446413.0,12.69214829579163,5.0
Nicole Richie,7369359.0,15.678706672430915,2.0
Jay-Z,407460.0,12.729031688690617,83.0
Grey's Anatomy cast,8137422.0,16.254420293124912,33.0
Bon Jovi,1917442.0,14.214193180498423,67.0
Ben Stiller,2000728.0,13.15050964806783,38.0
Brian Grazer,95594.0,11.05078084542873,70.0
Justin Timberlake,72045855.0,19.342899183359965,20.0
Tim McGraw,3631991.0,15.546709239395817,37.0
Roger Federer,12157073.0,16.71274646989343,29.0
George Clooney,35651.0,9.986289622312189,25.0
Kimi Raikkonen,2963948.0,15.086147552850981,40.0
Vince Vaughn,14276.0,9.58751167494139,25.0
Gore Verbinski,1890578.0,15.182319128813615,37.0
Anthony Robbins,6852307.0,15.456428278731108,30.0
Cate Blanchett,507499.0,12.154571989311627,13.0
Alan Greenspan,189.0,5.0382234378079644,16.0
Keira Knightley,245641.0,12.205298305100616,9.0
Barbara Walters,1888.0,7.2780797837305045,12.0
Jessica Alba,20463771.0,17.133827138153382,9.0
Daniel Radcliffe,3390093.0,14.92321599347022,15.0
Deepak Chopra,2912108.0,14.289582290207584,22.0
J.J. Abrams,147989.0,11.847031997592932,17.0
Dane Cook,742293.0,13.775514061606824,9.0
Jeff Foxworthy,103376.0,10.765552334183525,10.0
Rhonda Byrne,206279.0,12.167286129185436,12.0
Dakota Fanning,3951414.0,16.293728659998706,4.0
Danica Patrick,941785.0,14.2038105431603,5.0
Mitch Albom,75623.0,11.223719595758434,6.0
Emma Watson,75071834.0,17.920305702849806,4.0
Hayden Panettiere,757011.0,13.253647589710681,2.0
Paula Deen,509111.0,12.467541895950935,4.0
Bobby Flay,1863264.0,14.689297652938263,2.0
Beyonce Knowles,318882407.0,20.177240455471,80.0
The Police,398612.0,12.741842933043742,115.0
Kanye West,66947.0,10.532025178285014,30.0
Bruce Willis,1086073.0,13.364385033372972,41.0
Stephen King,56670.0,11.741870381097442,45.0
Miley Cyrus,215659730.0,18.134040928152242,25.0
Tyler Perry,7573730.0,15.29683718789972,125.0
Fernando Alonso,6430019.0,15.763865385686005,33.0
Nicolas Cage,12227.0,9.166563805072688,38.0
Spice Girls,1519465.0,15.096240868109566,21.0
Dale Earnhardt Jr.,976778.0,,31.0
Kevin Garnett,1012548.0,13.55442626066776,29.0
Gwen Stefani,17379336.0,16.23821925097418,27.0
Alicia Keys,27149732.0,17.101637864509645,15.0
Gwyneth Paltrow,8395820.0,15.696972135092865,25.0
Eva Longoria,9722913.0,16.773012623052153,9.0
Sarah Jessica Parker,9667460.0,17.118785200695566,18.0
Katherine Heigl,4556185.0,15.255327812652839,13.0
Tom Clancy,1904131.0,13.842293218653655,35.0
Carrie Underwood,13074858.0,15.975202648864068,9.0
Jon Stewart,484698.0,12.706962113231322,14.0
Justine Henin,10916.0,9.796729103880413,12.5
Judd Apatow,966226.0,13.024871276372826,27.0
Patrick Dempsey,6765967.0,16.103668339627607,13.5
Charlie Sheen,1080947.0,13.868438964940697,20.0
Drew Carey,70882.0,11.481531739339793,12.0
Steve Carell,847043.0,13.094476852694811,5.0
Lorena Ochoa,,,10.0
Jonas Brothers,7303273.0,17.08032552210961,12.0
Howie Mandel,1068481.0,13.762894215713029,14.0
Zac Efron,61939400.0,17.3974496810485,5.8
Ashley Tisdale,16216743.0,16.00757909302015,5.5
Gordon Ramsay,15813985.0,16.614514932765623,7.5
Jennifer Love Hewitt,1494302.0,14.549836036791703,5.0
Lauren Conrad,6015408.0,13.653346015295009,1.5
