Actor,Followers,Is_In_IMDB,Score
Bryan Cranston,5372073,0,15.25070015150469
Polly Walker,75696,0,10.858700780090185
Daryl Sabara,756615,0,12.719948957920531
Arkie Reece,918,0,6.6978866382014814
Davood Ghadami,122876,0,11.10004634731086
Pippa Nixon,441,0,6.329365754774407
Philip Philmar,85,0,4.461372043029296
Emily Tierney,111341,0,12.058785860482843
Don Stark,4797,0,7.918818026686629
Josh Daugherty,3574,0,8.356363132811202
Christopher Goodman,943,0,6.530967413193297
Amanda Clayton,22895,0,9.842653325353774
Joseph Billingiere,1155,0,7.1701591856563835
Bryce Dallas Howard,3321892,0,14.545551714257778
James Cromwell,288,0,5.604805161573244
J.K. Simmons,3421,0,7.526103564765241
Theresa Russell,1351,0,7.230272472503103
Dylan Baker,14157,0,9.160857407636954
Bill Nunn,240,0,5.8878549875563495
Elizabeth Banks,3937666,0,14.538488687462115
Ted Raimi,74944,0,11.644845221095801
Perla Haney-Jardine,13163,0,8.77769081684696
Willem Dafoe,139511,0,11.997239473919935
Cliff Robertson,146,0,5.029861998995112
Elya Baskin,22,0,3.1155473087044263
Mageina Tovah,20394,0,10.32383224259112
Joe Manganiello,2847076,0,15.09282070895882
Stan Lee,12288917,0,15.792617861769449
Bruce Campbell,177749,0,11.723158881590072
Christopher Young,3186,0,8.149950284165868
Grant Curtis,279,0,5.520738630486955
Daniel Gillies,4663261,0,16.076063969643897
John Paxton,366,0,6.170260748811832
Becky Ann Baker,260,0,5.72016185269026
Steve Valentine,13127,0,9.785897411208795
Lucy Gordon,675,0,6.21047399524312
Toni Wynne,1255,0,6.864648952582607
Andre B. Blake,55412,0,10.470614586929653
Tim Maculan,557,0,6.5496242262668325
Marc Vann,205,0,5.502194371845193
Joe Bays,33,0,3.6375985991061213
Gregg Daniel,2534,0,7.824123906468968
Michael Alexander,229,0,5.499298321961345
April Parker-Jones,43116,0,10.11789923835171
Robert Curtis Brown,1051,0,6.878665364223237
Christina Cindrich,155737,0,11.961465124377954
Sonya Maddox,466,0,6.524042898695939
Jessi Collins,15519,0,9.451977326839753
Michael McLaughlin,1712,0,7.667487889237137
Emilio Rivera,721874,0,13.979069090871851
Keith Woulard,2217,0,8.154450506174594
Reynaldo Gallegos,4842,0,8.511627804897698
Dean Edwards,194312,0,11.487275432120342
Margaret Laney,668,0,6.716930347057701
Aimee Miles,367,0,5.941446129083895
Tanya Bond,3715,0,8.029095120506948
Mark Kubr,2497,0,8.226910978030073
Tony Besson,14339,0,9.945964176033874
Frank Anello,36,0,3.7196857525303373
Joseph O'Brien,120534,0,11.841458628796616
Joe Lipari,980,0,6.796912510867382
Silvia Lombardo,1751,0,7.498837651098995
Joe Lipari,980,0,6.796912510867382
Silvia Lombardo,1751,0,7.498837651098995
David Dale McCue,128,0,4.813890303373994
Olan Montgomery,1216,0,7.201230278741969
Alex Moore,14419,0,9.489989084216996
Shane Nolan,42903,0,11.324462155499997
Jackson Nunn,21609,0,9.62291449552152
Joseph O'Brien,120532,0,11.841458628796616
Kyle David Pierce,36094,0,10.853400827946986
Troy Polamalu,573990,0,13.61496465074157
Michael Power,7784,0,8.857195702607594
James Rawlings,785,0,6.317038322266927
Ben Roethlisberger,758,0,6.827589393875345
Mark Roman,836,0,6.350188591768704
Eric Salazar,933,0,6.786360892992473
Emily Schooley,1900,0,7.809592839921444
Thomas Tull,212,0,5.343650658782646
CiarÃ¢ËÅ¡Ãâ°Ã¢Ëâ ÃÂ­Ã¢ËÅ¡Ãâ¡ÃÂ¬ÃÂ°n Hinds,420,0,
Dominic West,8141,0,8.19108599709445
Taylor Kitsch,404839,0,13.653644064269987
Lynn Collins,144925,0,11.388993378205347
Samantha Morton,203065,0,11.447604279174305
Willem Dafoe,139515,0,11.997239473919935
Thomas Haden Church,481,0,6.393891782714719
Tobey Maguire,499785,0,12.842661491899328
Kirsten Dunst,2304495,0,15.448994387293192
James Franco,364210,0,12.457200926153783
Topher Grace,571941,0,13.494792807715367
Vanessa Reseland,273,0,5.622094492142085
La Rivers,6825197,0,16.127563026650876
Bria Roberts,401,0,5.7930685731855265
Luis Rosa,357470,0,12.984166235434275
Vanessa Ross,569,0,6.549228078040556
Brenna Roth,3552,0,7.8192540098000975
Shade Rupe,186,0,5.1713801955305065
Eric Shackelford,132,0,5.0143542813451765
Daniel Shafer,14783,0,10.066358568024665
Jennifer Sparks,2009,0,7.245858991566375
Jimmy Star,2445,0,7.8180242187733295
Arne Starr,181,0,5.430267663381451
Liam Stone,8737,0,8.6850958150147
Tajna Tanovic,525,0,6.255950111811627
Sincerely A. Ward,67041,0,11.07673493310919
Jennifer Weston,1011,0,7.106955016237663
Zachary Levi,1623027,0,13.972092748807043
Mandy Moore,5558448,0,16.395252907533266
Donna Murphy,37700,0,10.624936929086234
Ron Perlman,1013315,0,14.264222083682135
Brad Garrett,91099,0,11.540318540043144
Paul F. Tompkins,223302,0,11.872394985397829
Richard Kiel,290,0,5.887054283942335
Delaney Rose Stein,3933,0,8.211993238006023
Nathan Greno,55381,0,10.974876081963005
Tim Mertens,78,0,4.509263510025883
Robert Downey Jr.,57288924,0,17.986933932326675
Chris Hemsworth,57646819,0,18.02070547272077
Mark Ruffalo,20536206,0,16.293187078340836
Chris Evans,3905530,0,15.218326139969472
Scarlett Johansson,4060201,0,14.970928544035138
Jeremy Renner,21197707,0,16.387749809399995
James Spader,73293,0,10.931083231834927
Samuel L. Jackson,8235263,0,16.20564566708785
Don Cheadle,926150,0,12.669729155214705
Aaron Taylor-Johnson,903896,0,12.36160610310325
Cobie Smulders,2169576,0,14.759892607915727
Anthony Mackie,2942083,0,15.18701297547946
Hayley Atwell,1952994,0,15.491153401090012
Idris Elba,6399057,0,15.570835477734313
Linda Cardellini,695454,0,12.495213763997057
Claudia Kim,357961,0,13.029777664232407
Thomas Kretschmann,33192,0,10.594609151822382
Andy Serkis,332414,0,11.574700731905175
Julie Delpy,116451,0,11.323198042844925
Henry Goodman,630,0,6.2074771596711225
Chris Luca,13040,0,9.745230479074737
Brian Schaeffer,445,0,6.010088748683264
Dominique Provost-Chalkley,286173,0,12.625341569411036
Isaac Andrews,10739,0,9.44249889157129
Bentley Kalu,9856,0,9.163142023024914
Julian Bleach,35,0,3.489415133149783
Christopher Beasley,6113,0,8.265309829090912
Vuyo Dabula,475443,0,13.373010199182755
Nondumiso Tembe,10430,0,9.326977017039598
Mandla Gaduka,30704,0,9.948052552025356
Antony Acheampong,153,0,4.4417200490074045
Ben Sakamoto,92,0,4.2375464245431465
Ingvild Deila,4137,0,8.537364136574917
Earl T. Kim,1723,0,6.981942359921359
Arthur Lee,1804,0,7.486239485083321
Alma Noce,63450,0,10.52541156003695
Constanza Ruff,1086,0,7.000359382460298
Tony Christensen,1390,0,7.010390640825274
Ian Kay,2715,0,8.273567012177926
Aaron Himelstein,960,0,7.115300674237244
Kerry Condon,42150,0,9.94685875705
Josh Brolin,3354464,0,14.960836313811566
Daniel Westwood,917,0,6.67019470189541
Daniel Radcliffe,3392012,0,14.923777635957611
Rupert Grint,5043900,0,14.214577146973232
Emma Watson,75037605,0,17.91985502203676
Tom Felton,12094854,0,15.872393777322957
Michael Gambon,3634,0,8.416862276199543
Jim Broadbent,153902,0,11.854262434148431
Helena Bonham Carter,106995,0,10.833651972989903
Robbie Coltrane,22483,0,9.15175074760395
Maggie Smith,101312,0,11.703577816411944
Alan Rickman,109237,0,11.585639971081203
Timothy Spall,43,0,3.6235571921148946
David Thewlis,347382,0,11.820740143741006
Julie Walters,13872,0,9.37669164601945
Matthew Lewis,2516821,0,15.131547194877195
Evanna Lynch,4043842,0,14.985696170834974
Bonnie Wright,3984624,0,15.416216373221253
Oliver Phelps,2493327,0,14.544545096704995
James Phelps,2662362,0,15.191699453517545
Mark Williams,88458,0,11.179470313010013
Warwick Davis,128277,0,10.49725568997475
Natalia Tena,152335,0,11.973063202448158
Katie Leung,367578,0,12.115510185755726
Geraldine Somerville,1495,0,7.316969282999148
Helen McCrory,13310,0,9.344082256810418
Freddie Stroma,32560,0,10.819952571893067
David Bradley,1062,0,6.612889252166834
Frank Dillane,10657,0,9.679979273573752
Hero Fiennes-Tiffin,7611497,0,16.210808878887594
Gemma Jones,22916,0,9.858858167598573
Afshan Azad,176704,0,11.518430183755893
Shefali Chowdhury,810,0,6.507291342258217
Georgina Leonidas,5745,0,8.898904474565892
Devon Murray,173353,0,12.865074228169764
Anna Shaffer,160786,0,12.880582275943793
Josh Herdman,136615,0,12.00866110679733
Jamie Waylett,1029,0,6.744853282326221
Scarlett Byrne,12026,0,9.554154786473454
Louis Cordice,40553,0,10.338088716006366
Alfie Enoch,371375,0,12.42304844747848
Robert Knox,24659,0,10.158903623448024
William Melling,1033,0,6.984661697770196
Paul Ritter,6305,0,8.602161288390661
Suzanne Toase,410,0,6.3041205797473365
Rod Hunt,4152,0,8.601026130746865
Elarica Gallacher,430350,0,13.275260184448511
Ben Affleck,24752,0,9.770981721010074
Henry Cavill,26776321,0,16.342277391410402
Gal Gadot,109557155,0,19.86471992036954
Amy Adams,940520,0,13.996020073094185
Jesse Eisenberg,12612,0,8.625661581683165
Diane Lane,516,0,6.451603380962366
