Title,Genres,Keywords,Year,Main_nominations,Technical_nominations,Artistic_nominations,Main_winner,Technical_winner,Artistic_winner,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
The Divorcee,"['Drama', 'Romance']","[""new year's eve"", 'infidelity', 'husband wife relationship', 'based on novel or book', 'double moral standard', 'wedding', 'divorce', 'extramarital affair', 'pre-code', 'ex-husband ex-wife relationship']",1929,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Their Own Desire,"['Drama', 'Romance']","['infidelity', 'prayer', 'loyalty', 'heart disease', 'mistress', 'storm', 'divorce', 'pre-code', 'diving board', 'polo', 'estrangement', 'peril', 'summer resort']",1929,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Trespasser,['Drama'],"['pre-code', 'stenographer']",1929,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
King of Jazz,"['Animation', 'Comedy', 'Music']","['dance', 'sketch comedy', 'pre-code', 'big band']",1929,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Love Parade,"['Comedy', 'Romance']","['queen', 'marriage', 'prince', 'pre-code']",1929,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sally,['Music'],"['dancer', 'waitress', 'restaurant', 'musical']",1929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Vagabond King,"['Music', 'Romance']","['france', 'invasion', 'romance', 'pre-code', 'medieval']",1929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
All Quiet on the Western Front,"['Drama', 'War']","['friendship', 'army', 'based on novel or book', 'germany', 'disillusion', 'world war i', 'steel helmet', 'patriotism', 'boot camp', 'battlefield', 'atrocity', 'black and white', 'soldier', 'combat', 'warfare', 'death', 'pre-code', 'anti war', 'mud', 'trenches', 'young soldier', 'battlefield trauma']",1929,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Hell's Angels,"['Drama', 'War', 'Action']","['world war i', 'brother', 'fighter pilot', 'zeppelin', 'unfaithful girlfriend', 'aerial combat', 'royal flying corps (rfc)', 'dogfight', 'airship', 'duel', 'suicide mission', 'bombing', 'pre-code', 'casualty of war', 'flirtatious woman', 'night patrol']",1929,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
With Byrd at the South Pole,['Documentary'],"['u.s. navy', 'antarctica', 'south pole', 'polar exploration']",1929,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Christie;,"['Drama', 'Romance']","['prostitute', 'based on play or musical', 'sailor', 'pre-code']",1929,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hallelujah,"['Music', 'Drama']","['brother', 'musical', 'preacher', 'all black cast']",1929,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Case of Sergeant Grischa,['Drama'],"['world war i', 'corporal', 'lost film', 'german army corporal']",1929,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raffles,"['Adventure', 'Crime', 'Romance']",['pre-code'],1929,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Song of the Flame,['Music'],"['revolution', 'loss of virginity', 'pre-code']",1929,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Street of Chance,"['Crime', 'Drama']","['gambling', 'gangster', 'pre-code']",1929,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Free Soul,"['Crime', 'Drama', 'Romance']","['gangster', 'murder', 'alcoholic', 'pre-code']",1930,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Skippy,"['Drama', 'Family', 'Comedy']","['dog', 'boy and dog', 'dogcatcher', 'shantytown', 'boys', 'child protagonist']",1930,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cimarron,"['Drama', 'Western', 'History']","['newspaper', 'gunslinger', 'indian territory', 'oklahoma', 'family history', 'frontier', 'black and white', 'newspaper editor', 'pre-code', 'land grab', 'oil rig\xa0', 'land rush', 'marksmanship', 'drilling for oil', 'land grant', 'osage indian', 'defense lawyer', 'american history', '1890s']",1930,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
The Royal Family of Broadway,['Comedy'],"['new york city', 'marriage', 'hollywood', 'pre-code', 'breach of promise', 'stage actress']",1930,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Front Page,"['Comedy', 'Crime', 'Drama', 'Romance']","['newspaper', 'escaped convict', 'reporter', 'screwball comedy', 'newspaper editor', 'pre-code', 'editor', 'press room', 'rolltop desk']",1930,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Morocco,"['Drama', 'Romance']","['foreign legion', 'morocco', 'pre-code', 'nightclub singer']",1930,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Min and Bill,"['Drama', 'Comedy']","['boarding house', 'pre-code', 'waterfront', 'truant officer']",1930,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Holiday,"['Comedy', 'Romance']","['black and white', 'pre-code', 'courtship']",1930,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Just Imagine,"['Comedy', 'Music', 'Science Fiction']","['future', 'pre-code', 'speculative']",1930,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Svengali,"['Drama', 'Horror', 'Romance']","['based on novel or book', 'telepathy', 'artist', 'unrequited love', 'model', 'pre-code', 'hypnotism', 'mesmerist']",1930,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Whoopee!,"['Music', 'Comedy', 'Western']","['sheriff', 'nurse', 'pre-code', 'cheesecake', 'stove']",1930,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Right to Love,['Drama'],['missionary'],1930,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tabu,"['Adventure', 'Drama', 'Romance']","['exotic island', ""love of one's life"", 'escape', 'sacrifice', 'south seas', 'civilization', 'tahiti', 'romance', 'black and white', 'shark', 'nature', 'pre-code', 'polynesia', 'bora bora']",1930,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Criminal Code,"['Crime', 'Drama']","['warden', 'pre-code']",1930,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Little Caesar,"['Drama', 'Crime']","['robbery', 'based on novel or book', 'gangster', 'crime boss', 'rise and fall', 'murder', 'organized crime', 'pre-code', 'teetotaler']",1930,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Dawn Patrol,"['War', 'Drama', 'Action']","['world war i', 'fighter pilot', 'pilot', 'aerial combat', 'royal flying corps (rfc)', 'suicide mission', 'pre-code', 'brothers']",1930,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
The Doorway to Hell,"['Crime', 'Drama']","['gangster', 'pre-code']",1930,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Laughter,"['Romance', 'Comedy']","['millionaire', 'pre-code', 'ziegfeld follies']",1930,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Public Enemy,"['Crime', 'Drama']","['gangster', 'anti hero', 'tragedy', 'organized crime', 'best friend', 'juvenile delinquent', 'pre-code', 'grapefruit']",1930,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smart Money,"['Crime', 'Drama']","['cheating', 'poker', 'gambling', 'gangster', 'blonde', 'revenge', 'death', 'pre-code', 'grifter', 'frame up', 'dice']",1930,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Champ,['Drama'],"['sports', 'gambling', 'fighter', 'alcoholic', 'single father', 'racetrack', 'prizefight', 'divorced parents', 'boxing', 'father son relationship']",1931,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Guardsman,"['Comedy', 'Drama']",['pre-code'],1931,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Jekyll and Mr. Hyde,"['Horror', 'Science Fiction', 'Drama']","['london, england', 'double life', 'based on novel or book', 'transformation', 'alter ego', 'jekyll and hyde', 'pre-code', 'marriage engagement', 'torment', 'abused woman']",1931,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Emma,"['Drama', 'Comedy']","['nanny', 'honeymoon', 'lawsuit', 'last will and testament', 'housekeeper', 'pre-code']",1931,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sin of Madelon Claudet,['Drama'],"['prison', 'suicide', 'prostitution', 'pre-code', 'medical school']",1931,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
À Nous la Liberté,"['Comedy', 'Music']","['factory', 'automation', 'escaped convict', 'social satire', 'assembly line']",1931,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arrowsmith,['Drama'],"['pre-code', 'plague']",1931,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Transatlantic,"['Comedy', 'Drama', 'Thriller']","['ocean liner', 'pre-code']",1931,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Shanghai Express,"['Adventure', 'Drama', 'Romance']","['prostitute', 'rape', 'china', 'shanghai, china', 'rebel', 'ex-lover', 'insurgence', 'chinese civil war', 'black and white', 'beijing, china', 'pre-code', 'based on short story']",1931,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bad Girl,"['Romance', 'Drama']","['misunderstanding', 'pre-code']",1931,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Lady and Gent,['Drama'],"['pre-code', 'boxing']",1931,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Star Witness,"['Crime', 'Drama']","['war veteran', 'kidnapping', 'gangster', 'grandfather', 'police protection', 'old man', 'murder', 'gang', 'shootout', 'fear', 'district attorney', 'perjury', 'playing flute', 'witness intimidation', 'police search', 'terrified family', 'crime witness']",1931,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
What Price Hollywood?,['Drama'],"['waitress', 'show business', 'alcoholism', 'film in film', 'hollywood', 'wedding', 'alcoholic', 'filmmaking', 'millionaire', 'pre-code', 'has been', 'big break', 'marital separation', 'first date', 'stardom', 'drunkard', 'celebrity interview', 'film director', 'polo player']",1931,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley Square,"['Fantasy', 'Romance']","['time travel', 'pre-code']",1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
The Private Life of Henry VIII,"['History', 'Drama']","['biography', 'based on true story', 'tudor', 'king', 'pre-code', 'henry viii', '16th century', 'british monarchy']",1932,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
I Am a Fugitive from a Chain Gang,"['Crime', 'Drama']","['prison', 'war veteran', 'blackmail', 'hamburger', 'based on true story', 'chain gang', 'fugitive', 'pre-code', 'escaped prisoner', 'reverend', 'tradesman', 'prison system', 'prison brutality', 'prison life', 'prison reform', 'innocent in jail', 'reformed criminal', 'escapee', 'forced labor']",1932,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Morning Glory,"['Drama', 'Romance']","['mentor', 'diva', 'seduction', 'ambition', 'theatrical producer', 'playwright', 'broadway', 'pre-code', 'drunkenness', 'broadway star', 'broadway producer', 'stage actress', 'stage struck']",1932,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Lady for a Day,"['Comedy', 'Drama']","['judge', 'parent child relationship', 'superstition', 'transformation', 'letter', 'count', 'deception', 'makeover', 'old lady', 'pre-code', 'nightclub singer', 'pool shark', 'racketeer', 'engaged couple', 'mother daughter reunion', 'panhandle', 'social reception', 'elaborate ruse', 'apple vendor']",1932,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cavalcade,"['Drama', 'War']","['london, england', 'world war i', 'black and white', 'pre-code', 'upstairs downstairs', '1900s', 'wealthy family', 'preserved film']",1932,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A Farewell to Arms,"['Drama', 'Romance', 'War']","['based on novel or book', 'escape', 'nurse', 'world war i', 'italy', 'pregnancy', 'love letter', 'priest', 'hospital', 'best friend', 'pre-code', 'air raid', 'battle of the isonzo', 'deathbed', 'air attack']",1932,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
When Ladies Meet,"['Comedy', 'Romance']","['widow', 'writer', 'pre-code', 'publisher']",1932,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Reunion in Vienna,"['Romance', 'Drama']","['vienna, austria']",1932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Sign of the Cross,"['Drama', 'History']","['arena', 'ancient rome', 'empress', 'pre-code', 'nero', '1st century']",1932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Little Women,"['Drama', 'Family']","['holiday', 'coming of age', 'american civil war']",1932,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42nd Street,"['Comedy', 'Drama', 'Romance']","['philadelphia, pennsylvania', 'musical', 'stage show', 'director', 'dog', 'broadway', 'pre-code', 'fainting', 'chorus girl', 'eviction', 'financial crisis']",1932,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Gold Diggers of 1933,"['Comedy', 'Drama']","['mistaken identity', 'musical', 'great depression', 'songwriter', 'pre-code', 'hard times', 'chorus girl', 'broadway musical', 'hidden identity', 'show girls']",1932,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
State Fair,"['Comedy', 'Drama', 'Romance']","['naivety', 'iowa', 'rural area', 'contest', 'love affair', 'pre-code', 'state fair']",1932,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
One Way Passage,"['Drama', 'Romance']","['ship', 'pre-code', 'sea voyage', 'dark secret', 'shipboard romance']",1932,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Prizefighter and the Lady,"['Romance', 'Crime', 'Comedy']","['pre-code', 'prizefight']",1932,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rasputin and the Empress,"['Drama', 'History']","['mind control', 'corruption', 'influence', 'faith', 'poison', 'manipulation', 'czar / tsar / tzar', 'royal family', 'downfall', 'royal court', 'pre-code', 'hypnotism', 'russian history', 'imperial russia', 'hemophilia', 'murder plot', 'cleric', 'romanov dinasty']",1932,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
It Happened One Night,"['Comedy', 'Romance']","['newspaper', 'miami, florida', 'marriage', 'reporter', 'black and white', 'screwball comedy', 'socialite', 'pre-code', 'based on short story', 'screwball', 'hitchhiking', 'road movie', 'rich girl', 'brat', 'trains']",1934,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Affairs of Cellini,"['Comedy', 'Drama', 'History']","['italy', 'pre-code', '16th century']",1934,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
