Jesus Christ Superstar,1973,8,G,24477615,115488,161340009,761219,3500000,23069651,,['Religious'],Based on Religious Text,Musical,Live Action,Historical Fiction,,['United States'],
The World's Greatest Athlete,1973,2,G,22583370,,148854418,,,,,,,,,,,['United States'],
Enter the Dragon,1973,8,R,21483063,48214,141601932,317794,850000,5602630,112,"['Martial Arts', 'Posthumous Release']",Original Screenplay,Action,Live Action,Contemporary Fiction,,"['Hong Kong', 'United States']","['Cantonese', 'English']"
Sleeper,1973,12,PG,18344729,,120916141,,2000000,13182658,87,"['Cloning', 'Satirical Comedy', 'Satire', 'Directing Yourself', 'Screenplay Written By the Star', 'Cryogenics', 'Dystopia', 'Rebellion', 'Romance']",Original Screenplay,Comedy,Live Action,Science Fiction,,['United States'],
A Touch of Class,1973,6,PG,16800000,,110734324,,,,106,['1974 Oscars Best Picture Nominee'],Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,['Brut Productions'],['United Kingdom'],['English']
The Day of the Jackal,1973,5,PG,16056255,,105832056,,,,143,"['Hitmen', 'Unnamed Character']",,,,,,"['France', 'United Kingdom']",
High Plains Drifter,1973,8,Not Rated,15700000,,103483863,,5500000,36252309,105,['Film Noir'],Original Screenplay,Western,Live Action,Historical Fiction,,['United States'],['English']
The Last Detail,,,R,10000000,,65913288,,2300000,15160056,104,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,['United States'],
Battle for the Planet of the Apes,,,G,8800000,,58003694,,1800000,11864392,93,"['Action Adventure', 'Rebellion', 'Talking Animals', 'Animal Lead']",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,,['United States'],['English']
Pat Garrett and Billy the Kid,1973,5,R,8000000,3000000,52730631,19773986,4638783,30575744,122,,Based on Real Life Events,Western,Live Action,Dramatization,['Metro-Goldwyn-Mayer Pictures'],['United States'],['English']
Lost Horizon,1973,1,G,3000000,,19773986,,5900000,38888840,,,,,,,,['United States'],
Westworld,1973,10,PG,3000000,,19773986,,1200000,7909595,88,"['Action Thriller', 'Vacation', 'Tourists In Trouble', ""Yesterday's Tomorrow"", '1980s', 'Robot', 'Visual Effects']",Original Screenplay,Action,Live Action,Science Fiction,,['United States'],
The Day of the Dolphin,1973,12,PG,2300000,,15160056,,8100000,53389764,104,,Based on Fiction Book/Short Story,Drama,Live Action,Science Fiction,,['United States'],['English']
Jonathan Livingston Seagull,1973,1,G,1600000,,10546126,,1500000,9886993,,,,,,,,['United States'],
