Annie Hall,1977,4,,38251425,845,184727241,4081,4000000,19317162,93,"['Breaking the Fourth Wall', 'Directing Yourself', 'Romance', 'Relationships Gone Wrong', 'Non-Chronological', 'Voiceover/Narration', 'Writing and Writers', 'Dysfunctional Family', 'About a Stand Up Comedian', 'Romantic Comedy', 'Oscars Best Picture Winner', '1978 Oscars Best Picture Nominee']",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
Semi-Tough,1977,11,,37187139,,179587494,,5700000,27526955,,,,,,,,['United States'],
Pete’s Dragon,1977,11,,36000000,,173854455,,10000000,48292904,,['Live Action Cartoon'],,,,,,['United States'],
The Gauntlet,,,,35400000,,170956881,,5500000,26561097,,"['Action Thriller', 'Fugitive / On the Run', 'Prostitution', 'Mafia', 'Organized Crime', 'Witness Protection', 'Addiction', 'Falsely Accused', 'Framed', 'Corrupt Cops', 'Government Corruption', 'Sex Crimes', 'Revenge']",Original Screenplay,Action,Live Action,Contemporary Fiction,['Malpaso Productions'],['United States'],
The Turning Point,1977,11,,33600000,,162264158,,,,119,"['Dancing', 'Life Drama', 'Father’s Footsteps', 'Romance', 'Relationships Gone Wrong', 'Dysfunctional Family', 'Professional Rivalry', 'Inspired by a True Story', '1978 Oscars Best Picture Nominee']",Original Screenplay,Drama,Live Action,Contemporary Fiction,['20th Century Fox'],['United States'],['English']
Heroes,1977,11,,33000000,,159366584,,3100000,14970800,112,"['Life Drama', 'Returning Soldiers', 'Vietnam War', 'Road Trip', 'PTSD', 'Faulty Memory', 'Relationships Gone Wrong', 'Romance']",Original Screenplay,Drama,Live Action,Contemporary Fiction,,['United States'],
High Anxiety,1977,12,,31063038,,150012432,,3400000,16419587,,['Spoof'],,,,,,['United States'],
Airport '77,1977,3,,30000000,,144878713,,6000000,28975743,113,"['Action Thriller', 'In a Plane', 'Plane Crash', 'Disaster', 'Heist', 'Underwater', 'Ensemble', 'Rescue']",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],['English']
The Rescuers,1977,6,G,48775599,,235551533,,7500000,36219678,76,"['Animal Lead', 'Talking Animals', 'Orphan', 'Kidnap', 'Rescue', 'Treasure Hunters', 'Intertitle', 'Epilogue']",Based on Fiction Book/Short Story,Adventure,Hand Animation,Kids Fiction,,['United States'],"['English', 'French', 'German', 'Russian']"
Herbie Goes to Monte Carlo,1977,6,,28000000,,135220132,,,,,"['Auto Racing', 'Set in Monte Carlo']",,,,,,['United States'],
Slap Shot,,,,28000000,,135220132,,6000000,28975743,,"['Winter Sports', 'Hockey']",,,,,,['United States'],
Freaky Friday,1977,1,,25942000,,125281452,,5000000,24146452,95,"['Body Swap', 'Family Comedy', 'Dysfunctional Family', 'Remade', 'Novel or Other Work Adapted by Author']",Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,,['United States'],
Exorcist II: The Heretic,1977,6,,25011000,,120785383,,14000000,67610066,102,"['Possessed', 'Supernatural Horror', 'Supernatural', 'Famously Bad', 'Religious', 'Catholic', 'Exorcism', 'Demons']",Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,,['United States'],
The Other Side of Midnight,1977,6,,24652021,3801,119051769,18356,9000000,43463614,,,,,,,,['United States'],
For the Love of Benji,1977,6,,22257624,,107488531,,,,,,,,,,,['United States'],['English']
The World's Greatest Lover,1977,12,PG,21000000,,101415099,,4800000,23180594,,,,,,,,['United States'],
Kingdom of the Spiders,,,,17000000,,82097937,,500000,2414645,95,"['Animals Gone Bad', 'Nature Horror', 'Life on a Farm', 'Environment', 'Life in a Small Town']",,Horror,Live Action,Science Fiction,,['United States'],['English']
Which Way Is Up?,,,,17000000,,82097937,,,,,['African Americans'],,,,,,['United States'],
Looking for Mr. Goodbar,1977,10,,16900000,,81615008,,2500000,12073226,136,"['Crime Drama', 'Inspired by a True Story', 'Narcotics', 'Teachers', 'Romance', 'LGBTQ+', 'Relationships Gone Wrong', 'Infidelity', 'The Other Woman', 'Dysfunctional Family', 'One Night Stand', '1970s', 'Domestic Abuse', 'Emotional Abuse', 'Sibling Rivalry', 'Erotic Drama']",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
MacArthur,1977,6,,16320000,,78814020,,9000000,43463614,130,,Based on Real Life Events,Drama,Live Action,Dramatization,,['United States'],['English']
Sinbad and the Eye of the Tiger,1977,8,,16000000,,77268647,,3500000,16902517,113,,,Adventure,Live Action,Fantasy,,['United Kingdom'],['English']
The Kentucky Fried Movie,1977,8,,15000000,5000000,72439356,24146452,600000,2897574,83,"['Sketch Comedy', 'TV News', 'Ensemble', 'Gratuitous Cameos', 'Spoof', 'Martial Arts', 'Martial Arts Master', 'Disaster', 'Blaxploitation']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,['United States'],
Orca,1977,7,PG,14717854,,71076791,,6000000,28975743,92,"['Animals Gone Bad', 'Visual Effects', 'Nature Horror', 'Set in Nova Scotia', 'On a Boat', 'Revenge']",Original Screenplay,Horror,Live Action,Science Fiction,['Dino De Laurentiis'],['United States'],['English']
"New York, New York",1977,6,,13800000,302,66644208,1458,14000000,67610066,155,['Film Noir'],Original Screenplay,Musical,Live Action,Historical Fiction,,['United States'],['English']
Sorcerer,1977,6,PG,12000000,7273,57951485,35123,21600000,104312673,121,['Film Noir'],Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,,['United States'],['English']
Bobby Deerfield,,,,9300000,,44912401,,6400000,30907459,124,"['Romantic Drama', 'Auto Racing', 'Death of a Teammate', 'Romance', 'Terminal Illness', 'Dysfunctional Family', 'Relationships Gone Wrong', 'Love Triangle']",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,['United States'],
Wizards,1977,3,,9000000,,43463614,,2000000,9658581,,"['Fairies', 'Post Apocalypse', 'War', 'Good vs. Evil', 'Mutants', 'Prologue', 'Voiceover/Narration', 'Demons', 'Non-Chronological', 'Hitmen', 'Twins', 'Sibling Rivalry', 'Cult Movie', 'Terrorism', 'Robot', 'Nazis Outside of World War II']",,,Rotoscoping,,,['United States'],
Islands in the Stream,1977,3,,8000000,,38634323,,,,,,,,,,,['United States'],
Eraserhead,,,Not Rated,7000000,97971,33805033,473130,100000,482929,89,"['Cult Movie', 'Midnight Movie', 'Avant Garde', 'Body Horror']",Original Screenplay,Horror,Live Action,Science Fiction,,['United States'],['English']
Thunder & Lightning,1977,6,,6000000,,28975743,,,,95,"['Action Comedy', 'Moonshine', 'Organized Crime', 'Set in Florida', 'Romance', 'Forbidden Romance', 'Cult Movie']",Original Screenplay,Action,Live Action,Contemporary Fiction,,['United States'],
March or Die,1977,8,,1000000,,4829290,,7000000,33805033,,,,,,,,['United Kingdom'],
